category,claim_count,unique_study_count,percent_of_206_studies,conditional_claim_count,eligible_quantitative_claim_count,eligible_qualitative_claim_count,context_only_claim_count
wavefront_fit_R2,2,1,0.5,0,2,0,0
wavelength_spacing,2,1,0.5,0,2,0,0
16QAM_symbol_rate,1,1,0.5,0,1,0,0
32QAM_symbol_rate,1,1,0.5,0,1,0,0
AC_DC_ratio,1,1,0.5,1,1,0,0
ADC_channels,1,1,0.5,0,1,0,0
ADC_resolution,1,1,0.5,0,1,0,0
ADT_LED_count,1,1,0.5,0,1,0,0
AD_sampling_rate,1,1,0.5,0,1,0,0
AOM_frequency_shift,1,1,0.5,0,1,0,0
APD_spectral_range,1,1,0.5,0,1,0,0
AP_and_plane_geometry,1,1,0.5,0,1,0,0
AR_resolution_penalty,1,1,0.5,0,1,0,0
AWG_DSO_parameters,1,1,0.5,0,1,0,0
AWG_DSO_sampling,1,1,0.5,0,1,0,0
AWG_MZM_parameters,1,1,0.5,0,1,0,0
AWG_analog_bandwidth,1,1,0.5,0,1,0,0
AWG_bandwidth_sampling,1,1,0.5,0,1,0,0
AWG_drive_voltage,1,1,0.5,0,1,0,0
AWG_max_power,1,1,0.5,1,1,0,0
AWG_max_sampling_rate,1,1,0.5,0,1,0,0
AWG_maximum_sampling_rate,1,1,0.5,0,1,0,0
AWG_model,1,1,0.5,0,1,0,0
AWG_model_sampling_voltage,1,1,0.5,0,1,0,0
AWG_sampling_amplitude,1,1,0.5,0,1,0,0
AWG_sampling_bandwidth,1,1,0.5,0,1,0,0
AWG_sampling_drive,1,1,0.5,0,1,0,0
AoD_approximation_error,1,1,0.5,0,1,0,0
B2B_fiber_power_difference,1,1,0.5,1,1,0,0
BCD_convergence_iterations,1,1,0.5,0,1,0,0
BCD_weighted_factor,1,1,0.5,0,1,0,0
BCRB_condition,1,1,0.5,1,1,0,0
BER_FEC_status,1,1,0.5,0,1,0,0
BER_SNR_improvement,1,1,0.5,0,1,0,0
BER_at_4dBm,1,1,0.5,0,1,0,0
BER_at_max_IOP,1,1,0.5,0,1,0,0
BER_bound,1,1,0.5,0,1,0,0
BER_constraint,1,1,0.5,1,1,0,0
BER_convergence_SNR,1,1,0.5,1,1,0,0
BER_error_free,1,1,0.5,0,1,0,0
BER_increase_orders_of_magnitude,1,1,0.5,0,1,0,0
BER_lower_limit,1,1,0.5,0,1,0,0
BER_mean_variance_processing_time,1,1,0.5,0,1,0,0
BER_observation_window,1,1,0.5,0,1,0,0
BER_performance_improvement,1,1,0.5,1,1,0,0
BER_quantum,1,1,0.5,0,1,0,0
BER_reduction,1,1,0.5,1,1,0,0
BER_sample_size,1,1,0.5,0,1,0,0
BER_saturation,1,1,0.5,0,1,0,0
BER_threshold_across_fiber,1,1,0.5,0,1,0,0
BER_threshold_range,1,1,0.5,0,1,0,0
BER_under_delay_tolerance,1,1,0.5,0,1,0,0
BER_window_length_1,1,1,0.5,0,1,0,0
BER_window_length_3,1,1,0.5,0,1,0,0
BER_window_length_4,1,1,0.5,0,1,0,0
BFS_precision,1,1,0.5,0,1,0,0
BPD_bandwidth,1,1,0.5,0,1,0,0
BPF_lower_frequency,1,1,0.5,0,1,0,0
BPF_passband,1,1,0.5,1,1,0,0
BPF_passband_lower,1,1,0.5,0,1,0,0
BPF_passband_upper,1,1,0.5,0,1,0,0
BPF_upper_frequency,1,1,0.5,0,1,0,0
BPS_block_size,1,1,0.5,0,1,0,0
BS_transmit_power,1,1,0.5,1,1,0,0
Bias_Tee_bandwidth,1,1,0.5,0,1,0,0
Brillouin_sweep_lower,1,1,0.5,0,1,0,0
Brillouin_sweep_upper,1,1,0.5,0,1,0,0
Brillouin_threshold_improvement,1,1,0.5,0,1,0,0
CCL_thickness,1,1,0.5,0,1,0,0
CCR_dimensions,1,1,0.5,0,1,0,0
CCR_reflectance,1,1,0.5,0,1,0,0
CEO_OFDM_block_count,1,1,0.5,0,1,0,0
CE_OFDM_center_frequency,1,1,0.5,0,1,0,0
CE_OFDM_data_rate,1,1,0.5,0,1,0,0
CFBG_dispersion_mismatch_lower_bound,1,1,0.5,0,1,0,0
CFBG_dispersion_mismatch_upper_bound,1,1,0.5,0,1,0,0
CFBG_dispersion_total_tolerance,1,1,0.5,0,1,0,0
CIM_rate,1,1,0.5,0,1,0,0
CPI_duration,1,1,0.5,0,1,0,0
CRB,1,1,0.5,1,1,0,0
CRB_distance_estimation,1,1,0.5,0,1,0,0
CRLB_change,1,1,0.5,0,1,0,0
CSPR_reduction,1,1,0.5,1,1,0,0
CSR_power_relation,1,1,0.5,1,1,0,0
C_FEC_BER_threshold,1,1,0.5,0,1,0,0
C_FEC_overhead,1,1,0.5,0,1,0,0
C_band_grid,1,1,0.5,0,1,0,0
DAC_sampling_rate,1,1,0.5,1,1,0,0
DAQ_sampling_rate,1,1,0.5,0,1,0,0
DAS_SNR_degradation,1,1,0.5,0,1,0,0
DA_sampling_rate,1,1,0.5,0,1,0,0
DBP_step_sizes,1,1,0.5,1,1,0,0
DBR_thickness,1,1,0.5,1,1,0,0
DCF_length,1,1,0.5,0,1,0,0
DCO_bias,1,1,0.5,0,1,0,0
DCRQ,1,1,0.5,0,1,0,0
DC_offset,1,1,0.5,0,1,0,0
DFB_wavelength_mismatch_lower_bound,1,1,0.5,0,1,0,0
DFB_wavelength_mismatch_upper_bound,1,1,0.5,0,1,0,0
DFB_wavelength_total_tolerance,1,1,0.5,0,1,0,0
DMT_frame_structure,1,1,0.5,0,1,0,0
DMT_symbol_dimensions,1,1,0.5,0,1,0,0
DSO_range_error,1,1,0.5,0,1,0,0
DSP_cutoff_frequency,1,1,0.5,0,1,0,0
Doppler_frequency_offset_tolerance,1,1,0.5,0,1,0,0
EAM_band_edge,1,1,0.5,0,1,0,0
EAM_insertion_extinction,1,1,0.5,0,1,0,0
EAM_length,1,1,0.5,0,1,0,0
EB_enhancement,1,1,0.5,0,1,0,0
EB_loss,1,1,0.5,0,1,0,0
EDFA_gain,1,1,0.5,0,1,0,0
EDFA_input_output_power,1,1,0.5,0,1,0,0
ENR_power_relation,1,1,0.5,1,1,0,0
ESA_frequency_resolution,1,1,0.5,0,1,0,0
EVM_degradation,1,1,0.5,0,1,0,0
EVM_endpoints,1,1,0.5,0,1,0,0
EVM_floor,1,1,0.5,0,1,0,0
EVM_fluctuation,1,1,0.5,0,1,0,0
EVM_threshold,1,1,0.5,0,1,0,0
F1_score,1,1,0.5,0,1,0,0
FBG_count_sweep,1,1,0.5,0,1,0,0
FBGs_per_tenant_default,1,1,0.5,0,1,0,0
FDM_guard_band,1,1,0.5,1,1,0,0
FDM_joint_waveform,1,1,0.5,0,1,0,0
FDW_bandwidth,1,1,0.5,0,1,0,0
FDW_count,1,1,0.5,0,1,0,0
FEC_code_rate,1,1,0.5,1,1,0,0
FEC_compliant_PMI_range,1,1,0.5,0,1,0,0
FEC_interleaving_depth,1,1,0.5,0,1,0,0
FEC_threshold_ROP,1,1,0.5,0,1,0,0
FFE_BER,1,1,0.5,0,1,0,0
FFT_IFFT_size,1,1,0.5,0,1,0,0
FFT_feature_count,1,1,0.5,0,1,0,0
FFT_points,1,1,0.5,0,1,0,0
FIM,1,1,0.5,0,1,0,0
FMCW_frequency_range,1,1,0.5,1,1,0,0
FMCW_sweep_bandwidth,1,1,0.5,0,1,0,0
FMD_TIA_bandwidth,1,1,0.5,0,1,0,0
FPGA_receiver_pipeline_latency,1,1,0.5,0,1,0,0
FSO_IF_symbol_rate,1,1,0.5,0,1,0,0
FSO_bandwidth,1,1,0.5,0,1,0,0
FTTR_latency,1,1,0.5,1,1,0,0
FiWi_frequency_symbol_rate,1,1,0.5,0,1,0,0
GMI_adjustment_range,1,1,0.5,0,1,0,0
GMI_at_6dBm,1,1,0.5,0,1,0,0
Gaussian_fit_position,1,1,0.5,0,1,0,0
Gaussian_noise_amplitude,1,1,0.5,0,1,0,0
Gaussian_waist,1,1,0.5,0,1,0,0
HPF_stopband_attenuation,1,1,0.5,1,1,0,0
IFFT_FFT_size,1,1,0.5,0,1,0,0
IFFT_size_and_CP,1,1,0.5,0,1,0,0
IF_amplifier_gain,1,1,0.5,0,1,0,0
IF_carrier_frequency,1,1,0.5,0,1,0,0
IF_center_frequencies,1,1,0.5,0,1,0,0
IF_chirp_span,1,1,0.5,0,1,0,0
IF_frequency_lower_bound,1,1,0.5,0,1,0,0
IF_frequency_upper_bound,1,1,0.5,0,1,0,0
IF_signal_power,1,1,0.5,0,1,0,0
IRQ,1,1,0.5,0,1,0,0
ISAC_vs_pure_communication_BER,1,1,0.5,0,1,0,0
ISAR_accumulation_time,1,1,0.5,0,1,0,0
ISAR_imaging_resolution,1,1,0.5,0,1,0,0
ISAR_target_platform,1,1,0.5,0,1,0,0
ISLR,1,1,0.5,0,1,0,0
JRC_frequency_lower_bound,1,1,0.5,0,1,0,0
JRC_frequency_upper_bound,1,1,0.5,0,1,0,0
KP4_FEC_operating_power,1,1,0.5,0,1,0,0
KP4_power_threshold_pair,1,1,0.5,0,1,0,0
KP4_power_threshold_single,1,1,0.5,0,1,0,0
LACO_layer_count,1,1,0.5,0,1,0,0
LD1_frequency_power,1,1,0.5,0,1,0,0
LD2_frequency_power,1,1,0.5,0,1,0,0
LD_clipping_levels,1,1,0.5,1,1,0,0
LD_current_to_light_coefficient,1,1,0.5,0,1,0,0
LD_emission_semiangle,1,1,0.5,0,1,0,0
LD_threshold_currents,1,1,0.5,0,1,0,0
LD_wavelengths,1,1,0.5,0,1,0,0
LED_3dB_bandwidth,1,1,0.5,0,1,0,0
LED_area,1,1,0.5,0,1,0,0
LED_array_count,1,1,0.5,1,1,0,0
LED_bias_voltage,1,1,0.5,0,1,0,0
LED_count_effect,1,1,0.5,0,1,0,0
LED_count_per_cluster,1,1,0.5,0,1,0,0
LED_current,1,1,0.5,1,1,0,0
LED_current_limits_bias,1,1,0.5,0,1,0,0
LED_drive_current,1,1,0.5,0,1,0,0
LED_drive_voltage,1,1,0.5,0,1,0,0
LED_gap,1,1,0.5,0,1,0,0
LED_half_intensity_angle,1,1,0.5,0,1,0,0
LED_half_power_semiangle_range,1,1,0.5,0,1,0,0
LED_location,1,1,0.5,0,1,0,0
LED_modulation_bandwidth,1,1,0.5,1,1,0,0
LED_power,1,1,0.5,0,1,0,0
LED_power_limits,1,1,0.5,0,1,0,0
LED_sensing_PD_counts,1,1,0.5,0,1,0,0
LFMCW_duration,1,1,0.5,0,1,0,0
LFMCW_length,1,1,0.5,0,1,0,0
LFM_ASK_BER_comparison,1,1,0.5,0,1,0,0
LFM_ASK_PSLR,1,1,0.5,0,1,0,0
LFM_ASK_PSLR_loss,1,1,0.5,0,1,0,0
LFM_bandwidth_duration,1,1,0.5,0,1,0,0
LFM_bandwidth_pulse,1,1,0.5,0,1,0,0
LFM_bandwidth_sweep,1,1,0.5,1,1,0,0
LFM_end_frequency,1,1,0.5,0,1,0,0
LFM_frequency_lower_bound,1,1,0.5,0,1,0,0
LFM_frequency_range,1,1,0.5,0,1,0,0
LFM_frequency_upper_bound,1,1,0.5,0,1,0,0
LFM_input_frequency_span,1,1,0.5,0,1,0,0
LFM_output_frequency_span,1,1,0.5,0,1,0,0
LFM_parameters,1,1,0.5,0,1,0,0
LFM_peak_power_range,1,1,0.5,0,1,0,0
LFM_period,1,1,0.5,0,1,0,0
LFM_power_share,1,1,0.5,0,1,0,0
LFM_pulse_duration,1,1,0.5,0,1,0,0
LFM_pulse_width,1,1,0.5,0,1,0,0
LFM_slot_duration,1,1,0.5,0,1,0,0
LFM_start_frequency,1,1,0.5,0,1,0,0
LFM_sweep_bandwidth,1,1,0.5,0,1,0,0
LFM_sweep_spans,1,1,0.5,0,1,0,0
LFM_vs_single_tone_BER,1,1,0.5,0,1,0,0
LMS_taps_delay,1,1,0.5,0,1,0,0
LNA_input_power,1,1,0.5,0,1,0,0
LO1_wavelength,1,1,0.5,0,1,0,0
LO2_wavelength,1,1,0.5,0,1,0,0
LO_frequency,1,1,0.5,1,1,0,0
LO_laser_frequency,1,1,0.5,0,1,0,0
LO_laser_linewidth,1,1,0.5,0,1,0,0
LO_laser_power,1,1,0.5,0,1,0,0
LO_power,1,1,0.5,0,1,0,0
LO_power_sweep,1,1,0.5,0,1,0,0
LO_power_threshold,1,1,0.5,0,1,0,0
LO_tone_power,1,1,0.5,0,1,0,0
LO_tuning_range,1,1,0.5,1,1,0,0
LPF_bandwidth,1,1,0.5,0,1,0,0
LPF_cutoff,1,1,0.5,0,1,0,0
LP_SINR_degradation,1,1,0.5,0,1,0,0
LSTM_BER_at_3dBm,1,1,0.5,0,1,0,0
LSTM_layer_sizes,1,1,0.5,0,1,0,0
Lambertian_order,1,1,0.5,1,1,0,0
LoS_blockage_power_relation,1,1,0.5,1,1,0,0
LoS_environment_parameters,1,1,0.5,0,1,0,0
LoS_to_NLoS_power_ratio,1,1,0.5,0,1,0,0
Lugol_volume,1,1,0.5,0,1,0,0
MAP_grid_points,1,1,0.5,0,1,0,0
MEC_SNR_coverage,1,1,0.5,0,1,0,0
MFU_count,1,1,0.5,1,1,0,0
MIC_SNR_coverage,1,1,0.5,0,1,0,0
MLS_OFDM_length_ratio,1,1,0.5,1,1,0,0
MLS_order,1,1,0.5,0,1,0,0
MMW_center_frequency,1,1,0.5,0,1,0,0
MQW_active_region_thickness,1,1,0.5,0,1,0,0
MQW_diode_diameter,1,1,0.5,0,1,0,0
MZM2_bandwidth,1,1,0.5,0,1,0,0
MZM_RF_power,1,1,0.5,0,1,0,0
MZM_bandwidth,1,1,0.5,0,1,0,0
MZM_bandwidth_insertion_loss,1,1,0.5,0,1,0,0
MZM_extinction_ratio,1,1,0.5,1,1,0,0
MZM_half_wave_voltage,1,1,0.5,0,1,0,0
Monte_Carlo_pulses,1,1,0.5,1,1,0,0
Monte_Carlo_realizations,1,1,0.5,0,1,0,0
Monte_Carlo_signals,1,1,0.5,0,1,0,0
NGMI_FEC_guideline,1,1,0.5,0,1,0,0
NLOS_SNR_penalty,1,1,0.5,0,1,0,0
NLOS_inclusive_epsilon90,1,1,0.5,0,1,0,0
OEO_fiber_length,1,1,0.5,0,1,0,0
OFC_FSR,1,1,0.5,0,1,0,0
OFC_drive_and_spacing,1,1,0.5,0,1,0,0
OFC_tone_spacing,1,1,0.5,0,1,0,0
OFDM_carrier_frequency,1,1,0.5,0,1,0,0
OFDM_frame_count,1,1,0.5,0,1,0,0
OFDM_frame_structure,1,1,0.5,0,1,0,0
OFDM_rate,1,1,0.5,0,1,0,0
OFDM_size,1,1,0.5,0,1,0,0
OFDM_subcarrier_count,1,1,0.5,0,1,0,0
OFDM_subcarriers_pilots,1,1,0.5,0,1,0,0
OFDM_symbol_count,1,1,0.5,0,1,0,0
OFDM_symbol_duration,1,1,0.5,0,1,0,0
OFDM_symbol_duration_formula,1,1,0.5,0,1,0,0
OFDM_symbol_rate,1,1,0.5,0,1,0,0
OFDM_symbols_per_frame,1,1,0.5,0,1,0,0
OIRS_attenuation_coefficient,1,1,0.5,0,1,0,0
OIRS_deflection_angle,1,1,0.5,0,1,0,0
OIRS_jitter_SD,1,1,0.5,0,1,0,0
OIRS_refresh_interval,1,1,0.5,0,1,0,0
OIRS_user_distance,1,1,0.5,0,1,0,0
OMT_isolation,1,1,0.5,0,1,0,0
OOK_modulation_depth,1,1,0.5,1,1,0,0
OPA_channel_count,1,1,0.5,0,1,0,0
OPA_pitch,1,1,0.5,0,1,0,0
OTA_link_distance,1,1,0.5,0,1,0,0
P1_reliable_threshold,1,1,0.5,0,1,0,0
P2_outage_boundary,1,1,0.5,0,1,0,0
PAM4_amplitude_levels,1,1,0.5,0,1,0,0
PAM4_power_share,1,1,0.5,0,1,0,0
PAM4_symbol_rate,1,1,0.5,0,1,0,0
PAPR,1,1,0.5,0,1,0,0
PAPR_CCDF,1,1,0.5,0,1,0,0
PAPR_at_PSR,1,1,0.5,0,1,0,0
PAPR_improvement,1,1,0.5,0,1,0,0
PAPR_subcarrier_cases,1,1,0.5,0,1,0,0
PA_gain,1,1,0.5,0,1,0,0
PA_gain_lower_bound,1,1,0.5,0,1,0,0
PA_gain_upper_bound,1,1,0.5,0,1,0,0
PCA_ICA_selected_features,1,1,0.5,0,1,0,0
PCS_probability_factor,1,1,0.5,0,1,0,0
PD1_bandwidth,1,1,0.5,0,1,0,0
PD_FOV,1,1,0.5,0,1,0,0
PD_active_area,1,1,0.5,0,1,0,0
PD_area,1,1,0.5,1,1,0,0
PD_array_area,1,1,0.5,0,1,0,0
PD_array_gain,1,1,0.5,0,1,0,0
PD_array_incidence_angle,1,1,0.5,0,1,0,0
PD_array_noise_variance,1,1,0.5,0,1,0,0
PD_count_per_device,1,1,0.5,0,1,0,0
PD_effective_area,1,1,0.5,0,1,0,0
PD_false_target_distances,1,1,0.5,1,1,0,0
PD_field_of_view,1,1,0.5,0,1,0,0
PD_input_limit,1,1,0.5,1,1,0,0
PD_input_optical_power,1,1,0.5,0,1,0,0
PD_input_optical_power_range,1,1,0.5,0,1,0,0
PD_input_power_limit,1,1,0.5,0,1,0,0
PD_received_power,1,1,0.5,0,1,0,0
PD_responsivities,1,1,0.5,0,1,0,0
PD_responsivity,1,1,0.5,0,1,0,0
PD_spectral_response,1,1,0.5,0,1,0,0
PER,1,1,0.5,0,1,0,0
PMD_coefficient,1,1,0.5,0,1,0,0
PMI_effect,1,1,0.5,0,1,0,0
PMI_sweep,1,1,0.5,0,1,0,0
PNR_difference,1,1,0.5,0,1,0,0
PN_code_length,1,1,0.5,0,1,0,0
PN_length,1,1,0.5,1,1,0,0
PPC_group_size,1,1,0.5,0,1,0,0
PRBS_modulation,1,1,0.5,0,1,0,0
PSD_model_agreement,1,1,0.5,0,1,0,0
PSD_penalty,1,1,0.5,1,1,0,0
PSD_validation_configuration,1,1,0.5,0,1,0,0
PSO_baseline_parameters,1,1,0.5,0,1,0,0
PSR_lower_bound,1,1,0.5,0,1,0,0
PV_model_parameters,1,1,0.5,0,1,0,0
PZT_drive_voltage,1,1,0.5,0,1,0,0
PZT_fiber_length,1,1,0.5,0,1,0,0
PZT_length,1,1,0.5,0,1,0,0
PZT_location,1,1,0.5,0,1,0,0
PZT_voltage,1,1,0.5,0,1,0,0
P_S_arrival_times,1,1,0.5,1,1,0,0
P_S_propagation_velocities,1,1,0.5,1,1,0,0
Pareto_configuration,1,1,0.5,0,1,0,0
QAM_LFM_bandwidth,1,1,0.5,0,1,0,0
QAM_order_range,1,1,0.5,0,1,0,0
QAM_symbols_per_condition,1,1,0.5,0,1,0,0
QAM_to_LFM_amplitude_ratio,1,1,0.5,0,1,0,0
QBP_false_target_frequencies,1,1,0.5,1,1,0,0
QD_solution_concentration,1,1,0.5,0,1,0,0
QD_solution_volume,1,1,0.5,0,1,0,0
QKD_model_parameters,1,1,0.5,0,1,0,0
QLPR_threshold,1,1,0.5,0,1,0,0
QPSK_aggregate_data_rate,1,1,0.5,0,1,0,0
QPSK_bandwidth,1,1,0.5,0,1,0,0
QPSK_baseband_bandwidth,1,1,0.5,0,1,0,0
QPSK_carrier_frequency,1,1,0.5,0,1,0,0
QPSK_symbol_rate,1,1,0.5,0,1,0,0
Q_penalty,1,1,0.5,0,1,0,0
QoS_threshold_range,1,1,0.5,0,1,0,0
RDE_step_size,1,1,0.5,0,1,0,0
RDE_taps,1,1,0.5,0,1,0,0
RFID_link_rate,1,1,0.5,1,1,0,0
RF_amplifier_gains,1,1,0.5,0,1,0,0
RF_bandwidths,1,1,0.5,0,1,0,0
RF_carrier_frequency,1,1,0.5,0,1,0,0
RF_comb_drive,1,1,0.5,0,1,0,0
RF_coverage_bandwidth,1,1,0.5,0,1,0,0
RF_drive_power,1,1,0.5,0,1,0,0
RF_image_center,1,1,0.5,0,1,0,0
RF_sweep_lower_bound,1,1,0.5,0,1,0,0
RF_sweep_upper_bound,1,1,0.5,0,1,0,0
RF_transmit_powers,1,1,0.5,0,1,0,0
RMSE_reduction,1,1,0.5,1,1,0,0
RMSE_saturation_SNR,1,1,0.5,1,1,0,0
RMS_distance_errors,1,1,0.5,0,1,0,0
ROP_range,1,1,0.5,0,1,0,0
ROS_publish_frequency,1,1,0.5,0,1,0,0
ROS_queue_size,1,1,0.5,0,1,0,0
RRU_power_consumption,1,1,0.5,0,1,0,0
RTF_LD_optical_hop,1,1,0.5,0,1,0,0
RVS_segment_count,1,1,0.5,0,1,0,0
RVS_subbands,1,1,0.5,0,1,0,0
Raman_factor,1,1,0.5,0,1,0,0
SBS_gain_bandwidth,1,1,0.5,0,1,0,0
SCM_bandwidth,1,1,0.5,1,1,0,0
SD_FEC_operating_power,1,1,0.5,0,1,0,0
SER_GMI_operating_points,1,1,0.5,0,1,0,0
SER_adjustment_range,1,1,0.5,0,1,0,0
SFU_count,1,1,0.5,1,1,0,0
SFU_spacing,1,1,0.5,1,1,0,0
SIC_capacity_gain,1,1,0.5,0,1,0,0
SIC_comparison_conditions,1,1,0.5,0,1,0,0
SINR_threshold_sweep,1,1,0.5,0,1,0,0
SNR_OSNR_sweep,1,1,0.5,0,1,0,0
SNR_at_BER_target,1,1,0.5,0,1,0,0
SNR_attenuation,1,1,0.5,0,1,0,0
SNR_below_preFEC_with_spreading,1,1,0.5,0,1,0,0
SNR_degradation,1,1,0.5,0,1,0,0
SNR_floor,1,1,0.5,0,1,0,0
SNR_margin_improvement,1,1,0.5,0,1,0,0
SNR_saturation,1,1,0.5,0,1,0,0
SNR_sweep,1,1,0.5,0,1,0,0
SNR_uniformity_improvement,1,1,0.5,0,1,0,0
SNR_variance,1,1,0.5,0,1,0,0
SRRC_rolloff_factor,1,1,0.5,0,1,0,0
SSB_frequency_placement,1,1,0.5,0,1,0,0
SSMF_length,1,1,0.5,0,1,0,0
SUT_frequency,1,1,0.5,0,1,0,0
SUT_power,1,1,0.5,0,1,0,0
Stokes_power,1,1,0.5,1,1,0,0
Stokes_power_increase,1,1,0.5,1,1,0,0
TDM_slot_durations,1,1,0.5,0,1,0,0
TDM_slot_width,1,1,0.5,0,1,0,0
TDOA_stabilization_power_index_ratio,1,1,0.5,0,1,0,0
TFLN_MZM_bandwidth,1,1,0.5,0,1,0,0
THz_LNA,1,1,0.5,0,1,0,0
THz_channel_centers,1,1,0.5,0,1,0,0
THz_frequency_range,1,1,0.5,0,1,0,0
THz_frequency_span,1,1,0.5,0,1,0,0
THz_hopping_carriers,1,1,0.5,0,1,0,0
THz_power_bandwidth_noise,1,1,0.5,0,1,0,0
THz_signal_frequency_span,1,1,0.5,0,1,0,0
Tx_IF_sweep,1,1,0.5,0,1,0,0
UAV_antenna_gain,1,1,0.5,0,1,0,0
UAV_bandwidth_range,1,1,0.5,1,1,0,0
UAV_count,1,1,0.5,0,1,0,0
UAV_height_effect,1,1,0.5,0,1,0,0
UE_agent_count,1,1,0.5,0,1,0,0
UE_coordinates,1,1,0.5,0,1,0,0
UE_grid_step,1,1,0.5,0,1,0,0
UE_height,1,1,0.5,0,1,0,0
UE_polar_locations,1,1,0.5,0,1,0,0
UE_position_count,1,1,0.5,0,1,0,0
UTC_PD_input_and_photocurrent,1,1,0.5,0,1,0,0
UTC_PD_parameters,1,1,0.5,0,1,0,0
UTC_PD_responsivity,1,1,0.5,0,1,0,0
U_path_velocity_schedule,1,1,0.5,0,1,0,0
VLC_data_rate_capability,1,1,0.5,0,1,0,0
VLC_distance,1,1,0.5,0,1,0,0
VLC_optical_parameters,1,1,0.5,0,1,0,0
VLC_power_bandwidth_noise,1,1,0.5,0,1,0,0
VLC_sampling_capability,1,1,0.5,0,1,0,0
VNE_BER,1,1,0.5,0,1,0,0
VNLE_NGMI_gain,1,1,0.5,0,1,0,0
VODL_tuning_range,1,1,0.5,0,1,0,0
VPP_allocation_ratio,1,1,0.5,0,1,0,0
WDM_channel_allocation,1,1,0.5,0,1,0,0
WDM_channel_count,1,1,0.5,0,1,0,0
WDM_isolation_sweep,1,1,0.5,0,1,0,0
WH_sequence_order,1,1,0.5,0,1,0,0
WH_sequence_phase,1,1,0.5,0,1,0,0
WPD_feature_count,1,1,0.5,0,1,0,0
WSS_insertion_loss,1,1,0.5,0,1,0,0
XPM_phase_shift,1,1,0.5,0,1,0,0
ZF_equalizer_resource_use,1,1,0.5,0,1,0,0
abnormal_loss_magnitudes,1,1,0.5,1,1,0,0
absolute_distance_error,1,1,0.5,0,1,0,0
absorbance_minimum_wavelength,1,1,0.5,0,1,0,0
acceleration_limits,1,1,0.5,0,1,0,0
accuracy_advantage,1,1,0.5,0,1,0,0
accuracy_definition,1,1,0.5,0,1,0,0
accuracy_test_rates,1,1,0.5,0,1,0,0
accuracy_variation,1,1,0.5,0,1,0,0
achievable_data_rate,1,1,0.5,1,1,0,0
achievable_rate_at_6dBm,1,1,0.5,0,1,0,0
acquisition_duration_bits,1,1,0.5,0,1,0,0
activity_classes,1,1,0.5,0,1,0,0
actuated_fiber_length,1,1,0.5,1,1,0,0
adaptive_data_rate_range,1,1,0.5,0,1,0,0
additional_path_loss,1,1,0.5,0,1,0,0
adjacent_crosstalk,1,1,0.5,0,1,0,0
affected_bits_per_jammed_hop,1,1,0.5,0,1,0,0
aggregate_binary_symbol_capacity,1,1,0.5,0,1,0,0
aggregate_coordinate_error,1,1,0.5,0,1,0,0
aggregate_gain_over_fixed_AP,1,1,0.5,0,1,0,0
aggregate_line_rate,1,1,0.5,0,1,0,0
algorithm_complexity,1,1,0.5,0,1,0,0
alignment_error,1,1,0.5,0,1,0,0
altered_segment_index,1,1,0.5,0,1,0,0
altered_segment_transmissivity,1,1,0.5,0,1,0,0
amplifier_noise_figure,1,1,0.5,1,1,0,0
amplitude_ratio_SINR_sync_SNR_sweep,1,1,0.5,0,1,0,0
analysis_duration,1,1,0.5,0,1,0,0
angle_grid_spacing,1,1,0.5,0,1,0,0
angle_grids,1,1,0.5,0,1,0,0
angle_test_distance,1,1,0.5,0,1,0,0
angular_range,1,1,0.5,1,1,0,0
angular_resolution,1,1,0.5,0,1,0,0
antenna_band,1,1,0.5,0,1,0,0
antenna_beamwidth,1,1,0.5,1,1,0,0
antenna_count,1,1,0.5,1,1,0,0
antenna_height,1,1,0.5,1,1,0,0
antenna_horizontal_separation,1,1,0.5,0,1,0,0
antenna_lens_parameters,1,1,0.5,0,1,0,0
antenna_lower_frequency,1,1,0.5,0,1,0,0
antenna_upper_frequency,1,1,0.5,0,1,0,0
antennas_per_BS,1,1,0.5,1,1,0,0
apparent_perturbation_length,1,1,0.5,0,1,0,0
apparent_range_drift,1,1,0.5,0,1,0,0
array_scale,1,1,0.5,0,1,0,0
array_size,1,1,0.5,0,1,0,0
arrival_time_offsets,1,1,0.5,0,1,0,0
assumed_event_velocity,1,1,0.5,0,1,0,0
attacker_scan_budget,1,1,0.5,0,1,0,0
attention_RMSE,1,1,0.5,0,1,0,0
attention_correlation,1,1,0.5,0,1,0,0
attenuation_coefficient,1,1,0.5,1,1,0,0
autocorrelation_pulse_width,1,1,0.5,0,1,0,0
average_DIR_by_case,1,1,0.5,0,1,0,0
average_accuracy_density_pattern,1,1,0.5,0,1,0,0
average_distance_error,1,1,0.5,0,1,0,0
average_log10_BER,1,1,0.5,0,1,0,0
average_optical_power,1,1,0.5,1,1,0,0
average_photon_number,1,1,0.5,0,1,0,0
average_range_error,1,1,0.5,0,1,0,0
average_user_throughput,1,1,0.5,0,1,0,0
average_water_depth,1,1,0.5,1,1,0,0
averaged_sweeps,1,1,0.5,0,1,0,0
averaging_count,1,1,0.5,0,1,0,0
averaging_time,1,1,0.5,0,1,0,0
azimuth_step,1,1,0.5,1,1,0,0
back_to_back_PSLR,1,1,0.5,0,1,0,0
background_power_share,1,1,0.5,0,1,0,0
backscatter_coupling_parameter,1,1,0.5,0,1,0,0
backscatter_optical_power,1,1,0.5,1,1,0,0
