"source_metric_record_id","canonical_study_cluster_id","canonical_source_report_id","modality","canonical_metric_domain","canonical_metric_family_code","canonical_metric_name_reported","canonical_condition_set_id","canonical_comparison_group_id","canonical_comparison_operator","canonical_value_numeric","canonical_value_low","canonical_value_high","canonical_unit_reported","canonical_measurement_plane_code","canonical_validation_type_code","canonical_scenario_summary","canonical_baseline_comparator","canonical_pdf_page","canonical_section_heading","canonical_table_id","canonical_figure_id","canonical_equation_id","reviewed_source_pdf_sha256","reviewer_1_status","reviewer_2_status","discrepancy_status","verification_outcome","recommended_comparison_decision","recommended_survey_use_decision","recommended_card_id","recommendation_status","lock_date"
"MET-SCR00052-G2-007","STC-SINGLETON-SCR-00052","SCR-00052","fiber","communication","BER","High-OSNR BER floor","COND-SCR00052-QPSK-UNSHAPED","CG-SCR00052-QPSK-BER","eq","5.2e-8","","","BER","system","laboratory_experiment","QPSK with conventional CC-OTDR on.","","2","III Experimental Results","","Fig. 2","","9BDD344FD31AAA03D823BC7569E5BAF6997565F49994FB4609E3B61EC2129E69","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00052-G2-008","STC-SINGLETON-SCR-00052","SCR-00052","fiber","sensing","other","Recovered phase variation amplitude","COND-SCR00052-SENSING-SHAPED","CG-SCR00052-SENSING","eq","3.9","","","rad peak-to-peak","system","laboratory_experiment","115-Hz, 125-mV peak-to-peak PZT drive; shaped probe; co-propagating 16-QAM.","","2","III Experimental Results","","Fig. 3","","9BDD344FD31AAA03D823BC7569E5BAF6997565F49994FB4609E3B61EC2129E69","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00052-G2-009","STC-SINGLETON-SCR-00052","SCR-00052","fiber","communication","data_rate","Co-propagating data rate","COND-SCR00052-SENSING-SHAPED","CG-SCR00052-DATA-RATE","eq","200","","","Gbps","system","laboratory_experiment","Shaped CC-OTDR with 16-QAM over 50 km.","","2","III Experimental Results; IV Conclusion","","Fig. 3","","9BDD344FD31AAA03D823BC7569E5BAF6997565F49994FB4609E3B61EC2129E69","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00056-G2-004","STC-SINGLETON-SCR-00056","SCR-00056","fiber","sensing","laser_linewidth","Experimental DFB linewidth","COND-SCR00056-EXP-SENSING","CG-SCR00056-LINEWIDTH-RANGE","approx","2.448","","","MHz","device_component","laboratory_experiment","Delay self-coherence measurement.","","6","4.2 Sensing results","","Fig. 3(c)","","615FC6045855836C387F1DDABE486335B762E1EC7F7FD02992B3D2E8E36A413D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00056-G2-005","STC-SINGLETON-SCR-00056","SCR-00056","fiber","sensing","other","Theoretical maximum perceivable range","COND-SCR00056-EXP-SENSING","CG-SCR00056-LINEWIDTH-RANGE","approx","41.88","","","m","system","analytical","Experimental 2.448-MHz DFB linewidth.","Actual stable sensing ends at about 38 m.","6","4.2 Sensing results","","","Eq. (8)","615FC6045855836C387F1DDABE486335B762E1EC7F7FD02992B3D2E8E36A413D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00056-G2-006","STC-SINGLETON-SCR-00056","SCR-00056","fiber","sensing","localization_error","Breakpoint localization error within 20 m","COND-SCR00056-EXP-SENSING-LE20M","CG-SCR00056-EXP-SENSING-ERROR","","","-20","20","cm","system","laboratory_experiment","Physical breakpoint experiment using short exposed-end fibers.","","6","4.2 Sensing results","","Fig. 6(b)","","615FC6045855836C387F1DDABE486335B762E1EC7F7FD02992B3D2E8E36A413D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K4","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00056-G2-007","STC-SINGLETON-SCR-00056","SCR-00056","fiber","sensing","localization_error","Breakpoint localization error from 20 to 38 m","COND-SCR00056-EXP-SENSING-20TO38M","CG-SCR00056-EXP-SENSING-ERROR","","","-40","40","cm","system","laboratory_experiment","Physical breakpoint experiment using short exposed-end fibers.","","6","4.2 Sensing results","","Fig. 6(b)","","615FC6045855836C387F1DDABE486335B762E1EC7F7FD02992B3D2E8E36A413D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K4","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00056-G2-013","STC-SINGLETON-SCR-00056","SCR-00056","fiber","sensing","localization_error","Simulated breakpoint localization error","COND-SCR00056-SIM-ISAC","CG-SCR00056-SIM-SENSING","","","-2","2","cm","system","simulation","1-kHz linewidth, 20-km simulation with communication.","","7","4.2 Sensing results","","Fig. 7(a)-(b)","","615FC6045855836C387F1DDABE486335B762E1EC7F7FD02992B3D2E8E36A413D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00057-G2-001","STC-SINGLETON-SCR-00057","SCR-00057","fiber","communication","data_rate","Communication data rate","COND-SCR00057-COMM","CG-SCR00057-COMM","","","","","Gbit/s","system","laboratory_experiment","Two 30-GBaud digital subcarriers over 40-km fiber.","","1-2","Abstract; Experimental Setup","","Fig. 2","","546B84FD64B0CC4A71910DFA717A0E4F8656C99818918119D4099FC432E03CB7","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","context_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00057-G2-002","STC-SINGLETON-SCR-00057","SCR-00057","fiber","communication","propagation_distance","Fiber transmission distance","COND-SCR00057-LINK","CG-SCR00057-LINK","eq","40","","","km","link","laboratory_experiment","Co-propagating DSCM and LFM probe.","","1-3","Abstract; Setup; Conclusion","","","","546B84FD64B0CC4A71910DFA717A0E4F8656C99818918119D4099FC432E03CB7","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00057-G2-003","STC-SINGLETON-SCR-00057","SCR-00057","fiber","sensing","FMCW_bandwidth","LFM swept bandwidth","COND-SCR00057-LFM","CG-SCR00057-LFM","eq","500","","","MHz","device_component","laboratory_experiment","Pre-compensated versus original probe.","","2","Experimental Setup","","Fig. 2","","546B84FD64B0CC4A71910DFA717A0E4F8656C99818918119D4099FC432E03CB7","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00057-G2-005","STC-SINGLETON-SCR-00057","SCR-00057","fiber","sensing","resolution","Spatial resolution","COND-SCR00057-SENSING","CG-SCR00057-SPATIAL-RESOLUTION","eq","1","","","m","system","laboratory_experiment","500-MHz LFM probe over 40 km.","","1;3","Abstract; Conclusion","","","","546B84FD64B0CC4A71910DFA717A0E4F8656C99818918119D4099FC432E03CB7","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-STCENDOGENOUS-G2-001","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","fiber","communication","data_rate","DP-QPSK data rate","COND-ENDOGENOUS-DPQPSK","CG-ENDOGENOUS-DATA-RATE","eq","200","","","Gbps","system","laboratory_experiment","50-GBaud endogenous ISAC with telecom chirp TS.","","1;13","Abstract; Conclusions","","","","8B8C009C868DDCD36A7B2D23F1343D23BD1D351812903F4FC484575003657A66","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-STCENDOGENOUS-G2-002","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","fiber","communication","data_rate","DP-16QAM data rate","COND-ENDOGENOUS-DP16QAM","CG-ENDOGENOUS-DATA-RATE","eq","400","","","Gbps","system","laboratory_experiment","50-GBaud endogenous ISAC with telecom chirp TS.","","1;13","Abstract; Conclusions","","","","8B8C009C868DDCD36A7B2D23F1343D23BD1D351812903F4FC484575003657A66","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K1","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-STCENDOGENOUS-G2-003","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","fiber","joint","propagation_distance","Fiber length","COND-ENDOGENOUS-LINK","CG-ENDOGENOUS-LINK","eq","10.4","","","km","link","laboratory_experiment","10-km span plus 400-m PZT section.","","7-8;13","3 Experimental setup; Conclusions","","Fig. 4","","8B8C009C868DDCD36A7B2D23F1343D23BD1D351812903F4FC484575003657A66","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-STCENDOGENOUS-G2-011","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","fiber","sensing","resolution","Final spatial resolution","COND-ENDOGENOUS-MRVA","CG-ENDOGENOUS-SPATIAL-RESOLUTION","approx","1","","","m","system","laboratory_experiment","200-MHz sweep; 182-ns chirp; 1-GSa/s sensing acquisition.","","10;12","4 Results","","Figs. 7 and 9","","8B8C009C868DDCD36A7B2D23F1343D23BD1D351812903F4FC484575003657A66","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","main_text","K1","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-STCENDOGENOUS-G2-016","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","fiber","sensing","other","Maximum noise level","COND-ENDOGENOUS-VIBRATION-PRIMARY","CG-ENDOGENOUS-NOISE","eq","-43.5","","","rad^2/Hz","system","laboratory_experiment","500-Hz vibration PSD.","","12","4 Results","","Fig. 9(d)","","8B8C009C868DDCD36A7B2D23F1343D23BD1D351812903F4FC484575003657A66","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-STCENDOGENOUS-G2-017","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","fiber","sensing","resolution","Strain resolution","COND-ENDOGENOUS-VIBRATION-PRIMARY","CG-ENDOGENOUS-STRAIN","eq","0.73","","","nε/√Hz","system","laboratory_experiment","500-Hz PZT vibration, 1-m spatial resolution.","","12","4 Results","","Fig. 9(d)","","8B8C009C868DDCD36A7B2D23F1343D23BD1D351812903F4FC484575003657A66","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"P03-M016","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","photonic_thz","joint","waveform_period","Triangular control period","C-SCR00083-FD","CG-THZ-FMCW-REPETITION-PERIOD-LAB","eq","800","","","ns","device_component","laboratory_experiment","2026 frequency division","","6","3.1 Experimental Setup","","","","3C807BD069B9DC67819529F4F9F21BCCC50224FA1AD4943797BA5E0A801DDC3D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"P03-M017","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","photonic_thz","sensing","chirp_duration","Single-chirp sweep duration","C-SCR00083-FD","CG-THZ-FMCW-CHIRP-DURATION-LAB","eq","400","","","ns","link","laboratory_experiment","2026 frequency division","","8","3.2 Results and Discussion","","Figure 7","","3C807BD069B9DC67819529F4F9F21BCCC50224FA1AD4943797BA5E0A801DDC3D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"P03-M034","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","photonic_thz","joint","waveform_period","Triangular control period","C-SCR00083-JW","CG-THZ-FMCW-REPETITION-PERIOD-LAB","eq","800","","","ns","device_component","laboratory_experiment","2026 joint waveform","","10","4.1 Experimental Setup","","","","3C807BD069B9DC67819529F4F9F21BCCC50224FA1AD4943797BA5E0A801DDC3D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"P03-M035","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","photonic_thz","sensing","chirp_duration","Single-chirp sweep duration","C-SCR00083-JW","CG-THZ-FMCW-CHIRP-DURATION-LAB","eq","400","","","ns","link","laboratory_experiment","2026 joint waveform","","12","4.2 Results and Discussion","","Figure 11","","3C807BD069B9DC67819529F4F9F21BCCC50224FA1AD4943797BA5E0A801DDC3D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"P03-M039","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","photonic_thz","communication","occupied_bandwidth","ASK main-lobe bandwidth","C-SCR00083-JW-R15","CG-THZ-ASK-MAIN-LOBE-BANDWIDTH","approx","30","","","GHz","link","laboratory_experiment","2026 joint waveform","","11","4.2 Results and Discussion","","","","3C807BD069B9DC67819529F4F9F21BCCC50224FA1AD4943797BA5E0A801DDC3D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"P03-M040","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","photonic_thz","joint","occupied_bandwidth","Total joint-waveform occupied bandwidth","C-SCR00083-JW-R15","CG-THZ-JOINT-TOTAL-OCCUPIED-BANDWIDTH","approx","36.2","","","GHz","link","mixed","2026 joint waveform","time-division narrative comparison","11","4.2 Results and Discussion","","","","3C807BD069B9DC67819529F4F9F21BCCC50224FA1AD4943797BA5E0A801DDC3D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","main_text","K8","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"P03-M041","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","photonic_thz","communication","spectral_efficiency","Joint-waveform spectral efficiency","C-SCR00083-JW-R15","CG-THZ-JOINT-SPECTRAL-EFFICIENCY","approx","0.41","","","bit/s/Hz","link","mixed","2026 joint waveform","time-division narrative comparison","11","4.2 Results and Discussion","","","15 Gbit/s / 36.2 GHz","3C807BD069B9DC67819529F4F9F21BCCC50224FA1AD4943797BA5E0A801DDC3D","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","main_text","K8","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00086-G2-001","STC-SINGLETON-SCR-00086","SCR-00086","photonic_thz","communication","data_rate","Communication data rate","COND-SCR00086-LINK","CG-SCR00086-COMM","eq","20","","","Gbps","system","laboratory_experiment","10-GBaud QPSK over 20-m 124-GHz multipath link.","","1;3","Abstract; Conclusion","","","","BB7E06A83D3F746A90D11E5A9C0178E56248C1D19BD1CFC5B3812A765A6D23B9","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00086-G2-002","STC-SINGLETON-SCR-00086","SCR-00086","photonic_thz","communication","propagation_distance","Wireless transmission distance","COND-SCR00086-LINK","CG-SCR00086-LINK","eq","20","","","m","link","laboratory_experiment","Three-reflector folded path at 124 GHz.","","2-3","3 Experimental Setup and Results; Conclusion","","Fig. 1","","BB7E06A83D3F746A90D11E5A9C0178E56248C1D19BD1CFC5B3812A765A6D23B9","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00086-G2-003","STC-SINGLETON-SCR-00086","SCR-00086","photonic_thz","joint","other","Dual-chirp amplitude ratio","COND-SCR00086-WAVEFORM","CG-SCR00086-POWER-RATIO","eq","10","","","ratio","device_component","laboratory_experiment","Up-chirp communication carrier versus down-chirp pilot.","","1","2 Operation Principles","","","Eq. (1)","BB7E06A83D3F746A90D11E5A9C0178E56248C1D19BD1CFC5B3812A765A6D23B9","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00086-G2-004","STC-SINGLETON-SCR-00086","SCR-00086","photonic_thz","sensing","resolution","Theoretical time resolution","COND-SCR00086-CHANNEL","CG-SCR00086-CHANNEL-RESPONSE","eq","0.1","","","ns","system","analytical","Dual-chirp channel estimation.","","2","3 Experimental Setup and Results","","","","BB7E06A83D3F746A90D11E5A9C0178E56248C1D19BD1CFC5B3812A765A6D23B9","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00086-G2-005","STC-SINGLETON-SCR-00086","SCR-00086","photonic_thz","sensing","resolution","Measured 3-dB pulse width","COND-SCR00086-CHANNEL","CG-SCR00086-CHANNEL-RESPONSE","approx","0.1","","","ns","system","laboratory_experiment","Three estimated multipath peaks.","","2-3","3 Experimental Setup and Results","","Fig. 2(c)","","BB7E06A83D3F746A90D11E5A9C0178E56248C1D19BD1CFC5B3812A765A6D23B9","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00086-G2-007","STC-SINGLETON-SCR-00086","SCR-00086","photonic_thz","communication","FEC_threshold","Optical power meeting 7% HD-FEC EVM threshold","COND-SCR00086-FDE","CG-SCR00086-FDE","gt","4","","","dBm","device_component","laboratory_experiment","UTC-PD input optical power sweep with FDE.","","2-3","3 Experimental Setup and Results","","Fig. 2(d)","","BB7E06A83D3F746A90D11E5A9C0178E56248C1D19BD1CFC5B3812A765A6D23B9","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00086-G2-008","STC-SINGLETON-SCR-00086","SCR-00086","photonic_thz","communication","FEC_threshold","Optical power meeting KP4-FEC EVM threshold","COND-SCR00086-FDE","CG-SCR00086-FDE","eq","8","","","dBm","device_component","laboratory_experiment","UTC-PD input optical power sweep with FDE.","","2-3","3 Experimental Setup and Results","","Fig. 2(d)","","BB7E06A83D3F746A90D11E5A9C0178E56248C1D19BD1CFC5B3812A765A6D23B9","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-001","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","communication","data_rate","Simultaneous DMT data rate","COND-SCR00196-INTEGRATED-2M","CG-VLC-DMT-INTEGRATED-LINK-DATA-RATE-LAB","approx","3","","","Gbit/s","link","laboratory_experiment","2 m VLC link; integrated structured illumination","","2","Introduction","","","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-002","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","sensing","localization_error","Lateral localization error","COND-SCR00196-CAP-2M","CG-VLC-CAP-LATERAL-LOCALIZATION-ERROR-LAB","lt","1","","","mm","system","laboratory_experiment","2 m; 0.6 m x 0.6 m field; 10 trials per subregion","","3","2.B","","Fig. 3","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-003","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","sensing","localization_error","Worst-case lateral localization error","COND-SCR00196-CAP-2M","CG-VLC-CAP-LATERAL-LOCALIZATION-ERROR-LAB","le","2","","","mm","system","laboratory_experiment","2 m; grid corners included","","3","2.B","","Fig. 3","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-004","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","sensing","resolution","Lateral localization resolution","COND-SCR00196-CAP-2M","CG-VLC-CAP-LATERAL-RESOLUTION-FULLFIELD-LAB","eq","1","","","mm","system","laboratory_experiment","2 m; full-field CAP","","1;4","Abstract; 2.B","","Fig. 3","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-005","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","sensing","resolution","Depth localization resolution","COND-SCR00196-CAP-DEPTH","CG-VLC-CAP-DEPTH-RESOLUTION-FULLFIELD-LAB","eq","4","","","cm","system","laboratory_experiment","1.6-2.2 m depth scan; 10 trials","","1;4","Abstract; 2.B","","Fig. 3","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-006","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","sensing","sensing_rate","3D localization frame rate","COND-SCR00196-CAP-DYNAMIC","CG-VLC-CAP-LOCALIZATION-FRAME-RATE-LAB","eq","39","","","frames/s","system","laboratory_experiment","Dynamic receiver in 0.6 m x 0.6 m x 0.6 m volume","","4","2.B","","Fig. 3","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-008","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","communication","data_rate","Data-rate range across structured illuminations","COND-SCR00196-SI-2M","CG-VLC-DMT-INTEGRATED-LINK-DATA-RATE-LAB","range","","3.16","3.52","Gbit/s","link","laboratory_experiment","2 m link; alpha=1/4","","5","2.C","","Fig. 4","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-009","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","communication","data_rate","Average data rate with structured illumination","COND-SCR00196-SI-2M","CG-VLC-DMT-INTEGRATED-LINK-DATA-RATE-LAB","eq","3.35","","","Gbit/s","link","laboratory_experiment","2 m link; baseline without structured illumination 3.49 Gbit/s","3.49 Gbit/s without structured illumination","5","2.C","","Fig. 4","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K6","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-010","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","communication","data_rate","Maximum data rate at 2 m","COND-SCR00196-RATE-2M","CG-VLC-DMT-INTEGRATED-LINK-DATA-RATE-LAB","eq","3.4","","","Gbit/s","link","laboratory_experiment","2 m; selected position","","6","2.C","","Fig. 4","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-011","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","communication","data_rate","Maximum data rate at 1.8 m","COND-SCR00196-RATE-1P8M","CG-VLC-DMT-INTEGRATED-LINK-DATA-RATE-LAB","eq","3.63","","","Gbit/s","link","laboratory_experiment","1.8 m; selected position","","6","2.C","","Fig. 4","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-012","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","communication","data_rate","Dynamic-motion data-rate range","COND-SCR00196-DYNAMIC-RATE","CG-VLC-DMT-DYNAMIC-TRACKING-DATA-RATE-LAB","range","","3.2","3.8","Gbit/s","system","laboratory_experiment","Moving receiver in integrated 3D volume","","6","2.C","","Fig. 4","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00196-013","STC-SINGLETON-SCR-00196","SCR-00196","VLC_LiFi","communication","data_rate","Maximum beamforming data-rate improvement at 2 m","COND-SCR00196-BF-2M","CG-VLC-BEAMFORMING-RELATIVE-DATA-RATE-GAIN-LAB","eq","122","","","%","system","laboratory_experiment","2 m; weak-irradiance positions","wide-field illumination without beamforming","7","2.D","","Fig. 5","","1A0C1D73FF9BE15089AE9480BC1E25E0B689787AA5778143F8EEBB72EE51C098","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
