metric_record_id,study_cluster_id,source_screening_record_id,condition_set_id,tradeoff_id,metric_domain,metric_family_code,metric_name_reported,measurement_plane_code,validation_type_code,result_representation,comparison_operator,value_numeric,value_low,value_high,uncertainty_type,uncertainty_value,unit_reported,value_status,value_origin,normalization_status,normalized_value,normalized_unit,normalization_formula,normalization_input_ids,scenario_summary,baseline_comparator,comparison_group_id,metric_comparability_class,metric_comparison_admissibility_class,pdf_page,section_heading,table_id,figure_id,equation_id,verification_status,conflict_flag,schema_version,final_claim_status,final_survey_use_class,final_comparison_admissibility,cross_study_quantitative_comparison_allowed,final_reason_code,independent_human_status,source_workbook_sha256
MET-SCR00941-007,STC-SINGLETON-SCR-00941,SCR-00941,COND-SCR00941-MSE-CURVE,TRD-SCR00941-001,sensing,estimation_error,CFR-estimation MSE versus transmitted power,system,simulation,curve,,,,,NR,,dimensionless,reported,reported,not_normalized_reported_value,,,,,Multiple Gamma_w/Gamma_nu and waveform baselines,,CG-SENSING-NORMALIZED-CFR-MSE-VS-TX-POWER-SIMULATION,conditionally_comparable,conditionally_admissible,13,Numerical Results,,Fig. 7,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00941-008,STC-SINGLETON-SCR-00941,SCR-00941,COND-SCR00941-THRESHOLD-SENSING,TRD-SCR00941-004,sensing,estimation_error,Required-power change for same CFR MSE,system,simulation,scalar,eq,4,,,NR,,dB,reported,reported,not_normalized_reported_value,,,,,Gamma_w=0.30 Pt,Gamma_nu=0.90,CG-SENSING-CFR-MSE-THRESHOLD-POWER-PENALTY,conditionally_comparable,conditionally_admissible,13,Numerical Results,,Fig. 7(b),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00941-009,STC-SINGLETON-SCR-00941,SCR-00941,COND-SCR00941-THRESHOLD-COMM,TRD-SCR00941-004,communication,BER,Required-power change for same BER,link,simulation,scalar,eq,1,,,NR,,dB,reported,reported,not_normalized_reported_value,,,,,Gamma_w=0.30 Pt,Gamma_nu=1.00,CG-COMM-BER-THRESHOLD-POWER-PENALTY,conditionally_comparable,conditionally_admissible,13,Numerical Results,,Fig. 6(b),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00941-010,STC-SINGLETON-SCR-00941,SCR-00941,COND-SCR00941-RMSE-CURVE,TRD-SCR00941-002,sensing,range_accuracy,Target-profile RMSE,system,simulation,curve,,,,,NR,,cm,reported,reported,not_normalized_reported_value,,,,,OPA/noise and waveform comparator groups,,CG-SENSING-EXTENDED-TARGET-PROFILE-RMSE-CM-SIMULATION,conditionally_comparable,conditionally_admissible,13,Numerical Results,,Fig. 8,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00941-011,STC-SINGLETON-SCR-00941,SCR-00941,COND-SCR00941-OPA-CONVERGENCE,,joint,other,OPA optimization convergence,system,simulation,threshold,le,5,,,NR,,iterations,reported,reported,not_normalized_reported_value,,,,,Threshold combinations in Fig. 3,,CG-JOINT-OPA-OPTIMIZER-CONVERGENCE-ITERATIONS,conditionally_comparable,insufficient_information,10-11,Numerical Results,,Fig. 3,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,insufficient_information,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00941-012,STC-SINGLETON-SCR-00941,SCR-00941,COND-SCR00941-MC,,joint,other,Monte-Carlo replications,system,simulation,scalar,eq,10000,,,NR,,runs,reported,reported,not_normalized_reported_value,,,,,Numerical evaluation,,NO-DIRECT-GROUP-MONTE-CARLO-COUNT-NOT-OUTCOME,descriptive_only,not_admissible,12,Numerical Results,,,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,not_admissible,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-001,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-INTEGRATED-2M,TRD-SCR00196-001,communication,data_rate,Simultaneous DMT data rate,link,laboratory_experiment,scalar,approx,3,,,NR,,Gbit/s,reported,reported,not_normalized_reported_value,,,,,2 m VLC link; integrated structured illumination,,CG-VLC-DMT-INTEGRATED-LINK-DATA-RATE-LAB,conditionally_comparable,conditionally_admissible,2,Introduction,,,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-002,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-CAP-2M,TRD-SCR00196-001,sensing,localization_error,Lateral localization error,system,laboratory_experiment,threshold,lt,1,,,NR,,mm,reported,reported,not_normalized_reported_value,,,,,2 m; 0.6 m x 0.6 m field; 10 trials per subregion,,CG-VLC-CAP-LATERAL-LOCALIZATION-ERROR-LAB,conditionally_comparable,conditionally_admissible,3,2.B,,Fig. 3,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-003,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-CAP-2M,,sensing,localization_error,Worst-case lateral localization error,system,laboratory_experiment,threshold,le,2,,,NR,,mm,reported,reported,not_normalized_reported_value,,,,,2 m; grid corners included,,CG-VLC-CAP-LATERAL-LOCALIZATION-ERROR-LAB,conditionally_comparable,conditionally_admissible,3,2.B,,Fig. 3,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-004,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-CAP-2M,TRD-SCR00196-003,sensing,resolution,Lateral localization resolution,system,laboratory_experiment,scalar,eq,1,,,NR,,mm,reported,reported,not_normalized_reported_value,,,,,2 m; full-field CAP,,CG-VLC-CAP-LATERAL-RESOLUTION-FULLFIELD-LAB,conditionally_comparable,conditionally_admissible,1;4,Abstract; 2.B,,Fig. 3,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-005,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-CAP-DEPTH,TRD-SCR00196-003,sensing,resolution,Depth localization resolution,system,laboratory_experiment,scalar,eq,4,,,NR,,cm,reported,reported,not_normalized_reported_value,,,,,1.6-2.2 m depth scan; 10 trials,,CG-VLC-CAP-DEPTH-RESOLUTION-FULLFIELD-LAB,conditionally_comparable,conditionally_admissible,1;4,Abstract; 2.B,,Fig. 3,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-006,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-CAP-DYNAMIC,TRD-SCR00196-003,sensing,sensing_rate,3D localization frame rate,system,laboratory_experiment,scalar,eq,39,,,NR,,frames/s,reported,reported,not_normalized_reported_value,,,,,Dynamic receiver in 0.6 m x 0.6 m x 0.6 m volume,,CG-VLC-CAP-LOCALIZATION-FRAME-RATE-LAB,conditionally_comparable,conditionally_admissible,4,2.B,,Fig. 3,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-007,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-CAP-N128,TRD-SCR00196-003,sensing,other,CAP sampling ratio,system,laboratory_experiment,scalar,eq,1.56,,,NR,,%,reported,reported,not_normalized_reported_value,,,,,N=128; SLM 20 kHz,,CG-VLC-CAP-LOGICAL-SAMPLING-RATIO-2N-N2,conditionally_comparable,conditionally_admissible,3,2.B,,,,verified,yes,phase_d_schema_v1.0_pilot_locked,supported_with_source_specific_guardrail,eligible_quantitative,conditionally_admissible,no,metric_scope_or_definition_guardrail,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-008,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-SI-2M,TRD-SCR00196-001,communication,data_rate,Data-rate range across structured illuminations,link,laboratory_experiment,range,range,,3.16,3.52,NR,,Gbit/s,reported,reported,not_normalized_reported_value,,,,,2 m link; alpha=1/4,,CG-VLC-DMT-INTEGRATED-LINK-DATA-RATE-LAB,conditionally_comparable,conditionally_admissible,5,2.C,,Fig. 4,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-009,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-SI-2M,TRD-SCR00196-001,communication,data_rate,Average data rate with structured illumination,link,laboratory_experiment,scalar,eq,3.35,,,NR,,Gbit/s,reported,reported,not_normalized_reported_value,,,,,2 m link; baseline without structured illumination 3.49 Gbit/s,3.49 Gbit/s without structured illumination,CG-VLC-DMT-INTEGRATED-LINK-DATA-RATE-LAB,conditionally_comparable,conditionally_admissible,5,2.C,,Fig. 4,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-010,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-RATE-2M,,communication,data_rate,Maximum data rate at 2 m,link,laboratory_experiment,scalar,eq,3.4,,,NR,,Gbit/s,reported,reported,not_normalized_reported_value,,,,,2 m; selected position,,CG-VLC-DMT-INTEGRATED-LINK-DATA-RATE-LAB,conditionally_comparable,conditionally_admissible,6,2.C,,Fig. 4,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-011,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-RATE-1P8M,,communication,data_rate,Maximum data rate at 1.8 m,link,laboratory_experiment,scalar,eq,3.63,,,NR,,Gbit/s,reported,reported,not_normalized_reported_value,,,,,1.8 m; selected position,,CG-VLC-DMT-INTEGRATED-LINK-DATA-RATE-LAB,conditionally_comparable,conditionally_admissible,6,2.C,,Fig. 4,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-012,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-DYNAMIC-RATE,,communication,data_rate,Dynamic-motion data-rate range,system,laboratory_experiment,range,range,,3.2,3.8,NR,,Gbit/s,reported,reported,not_normalized_reported_value,,,,,Moving receiver in integrated 3D volume,,CG-VLC-DMT-DYNAMIC-TRACKING-DATA-RATE-LAB,conditionally_comparable,conditionally_admissible,6,2.C,,Fig. 4,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-013,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-BF-2M,TRD-SCR00196-002,communication,data_rate,Maximum beamforming data-rate improvement at 2 m,system,laboratory_experiment,scalar,eq,122,,,NR,,%,reported,reported,not_normalized_reported_value,,,,,2 m; weak-irradiance positions,wide-field illumination without beamforming,CG-VLC-BEAMFORMING-RELATIVE-DATA-RATE-GAIN-LAB,conditionally_comparable,conditionally_admissible,7,2.D,,Fig. 5,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-014,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-BF-2M,,communication,data_rate,Maximum beamformed data rate,system,laboratory_experiment,threshold,gt,6,,,NR,,Gbit/s,reported,reported,not_normalized_reported_value,,,,,2 m adaptive beamforming,,CG-VLC-DMT-BEAMFORMED-DATA-RATE-LAB,conditionally_comparable,conditionally_admissible,7,2.D,,Fig. 5,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-015,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-BF-FIRSTPOS,,communication,SNR,Average SNR after beamforming,link,laboratory_experiment,scalar,eq,18.79,,,NR,,dB,reported,reported,not_normalized_reported_value,,,,,2 m first test position,12.30 dB without beamforming,CG-VLC-DMT-BEAMFORMED-EVM-SNR-LAB,conditionally_comparable,conditionally_admissible,7,2.D,,Fig. 5,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-016,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-BF-FIRSTPOS,,communication,other,Highest bit allocation after beamforming,link,laboratory_experiment,scalar,eq,7,,,NR,,bit/(s Hz),reported,reported,not_normalized_reported_value,,,,,2 m first test position,4 bit/(s Hz) without beamforming,CG-VLC-DMT-BEAMFORMED-BIT-LOADING-LAB,conditionally_comparable,conditionally_admissible,7,2.D,,Fig. 5,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-017,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-BF-3M,TRD-SCR00196-002,communication,data_rate,Beamformed data rate at 3 m field periphery,system,laboratory_experiment,scalar,eq,5.93,,,NR,,Gbit/s,reported,reported,not_normalized_reported_value,,,,,3 m; 0.9 m x 0.9 m field periphery,2.09 Gbit/s without beamforming,CG-VLC-DMT-BEAMFORMED-DATA-RATE-LAB,conditionally_comparable,conditionally_admissible,7,2.D,,Fig. 5,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-018,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-BF-3M,TRD-SCR00196-002,communication,data_rate,Beamforming data-rate improvement at 3 m,system,laboratory_experiment,scalar,eq,184,,,NR,,%,reported,reported,not_normalized_reported_value,,,,,3 m; field periphery,wide-field illumination without beamforming,CG-VLC-BEAMFORMING-RELATIVE-DATA-RATE-GAIN-LAB,conditionally_comparable,conditionally_admissible,7,2.D,,Fig. 5,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-019,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-VR1-WIDE,,communication,other,"Packet-loss rate, VR video 1",application,prototype_testbed,scalar,approx,38.5,,,NR,,%,reported,reported,not_normalized_reported_value,,,,,"7680 x 3840, 120 Hz VR video; no beamforming",,CG-VLC-VR-PACKET-LOSS-PROTOTYPE,conditionally_comparable,conditionally_admissible,8,2.D,,,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-020,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-VR2-WIDE,,communication,other,"Packet-loss rate, VR video 2",application,prototype_testbed,scalar,approx,34.4,,,NR,,%,reported,reported,not_normalized_reported_value,,,,,"7200 x 3840, 120 Hz VR video; no beamforming",,CG-VLC-VR-PACKET-LOSS-PROTOTYPE,conditionally_comparable,conditionally_admissible,8,2.D,,,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-021,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-REFINED-XNEG,TRD-SCR00196-002,sensing,estimation_error,Estimated negative X displacement,system,laboratory_experiment,mean_SD,eq,-0.491,,,SD,0.006,mm,reported,reported,not_normalized_reported_value,,,,,ROI-refined localization after beamforming,,CG-VLC-ROI-LATERAL-DISPLACEMENT-ESTIMATE-LAB,conditionally_comparable,conditionally_admissible,8,2.D,,Fig. 6,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-022,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-REFINED-XPOS,,sensing,estimation_error,Estimated positive X displacement,system,laboratory_experiment,mean_SD,eq,0.494,,,SD,0.008,mm,reported,reported,not_normalized_reported_value,,,,,ROI-refined localization after beamforming,,CG-VLC-ROI-LATERAL-DISPLACEMENT-ESTIMATE-LAB,conditionally_comparable,conditionally_admissible,8,2.D,,Fig. 6,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-023,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-REFINED-YNEG,,sensing,estimation_error,Estimated negative Y displacement,system,laboratory_experiment,mean_SD,eq,-0.482,,,SD,0.003,mm,reported,reported,not_normalized_reported_value,,,,,ROI-refined localization after beamforming,,CG-VLC-ROI-LATERAL-DISPLACEMENT-ESTIMATE-LAB,conditionally_comparable,conditionally_admissible,8,2.D,,Fig. 6,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-024,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-REFINED-YPOS,,sensing,estimation_error,Estimated positive Y displacement,system,laboratory_experiment,mean_SD,eq,0.473,,,SD,0.004,mm,reported,reported,not_normalized_reported_value,,,,,ROI-refined localization after beamforming,,CG-VLC-ROI-LATERAL-DISPLACEMENT-ESTIMATE-LAB,conditionally_comparable,conditionally_admissible,8,2.D,,Fig. 6,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-025,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-REFINED-ZNEG,,sensing,estimation_error,Estimated negative depth displacement,system,laboratory_experiment,mean_SD,eq,-4.01,,,SD,3.69,mm,reported,reported,not_normalized_reported_value,,,,,ROI-refined localization after beamforming,,CG-VLC-ROI-DEPTH-DISPLACEMENT-ESTIMATE-LAB,conditionally_comparable,conditionally_admissible,8,2.D,,Fig. 6,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-026,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-REFINED-ZPOS,,sensing,estimation_error,Estimated positive depth displacement,system,laboratory_experiment,mean_SD,eq,4.55,,,SD,5.48,mm,reported,reported,not_normalized_reported_value,,,,,ROI-refined localization after beamforming,,CG-VLC-ROI-DEPTH-DISPLACEMENT-ESTIMATE-LAB,conditionally_comparable,conditionally_admissible,8,2.D,,Fig. 6,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00196-027,STC-SINGLETON-SCR-00196,SCR-00196,COND-SCR00196-REFINED-Z,TRD-SCR00196-002,sensing,resolution,Refined depth separation,system,laboratory_experiment,scalar,eq,10,,,NR,,mm,reported,reported,not_normalized_reported_value,,,,,ROI-focused structured illumination after beamforming,,CG-VLC-ROI-DEPTH-SEPARATION-RESOLUTION-LAB,conditionally_comparable,conditionally_admissible,8,2.D,,Fig. 6,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-B20-SCR00001-001,STC-SINGLETON-SCR-00001,SCR-00001,CS-SCR00001-TERNARY-ZERO-BIAS,,sensing,other,Peak responsivity,device_component,laboratory_experiment,scalar,eq,0.48,,,,,A W-1,reported,reported,,,,,,"Ternary NIR OPD, 30% BTPSV-4Cl, self-powered mode",,,,,3,2. High-Sensitivity NIR OPDs,,Figure 2c,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,descriptive_only,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-B20-SCR00001-002,STC-SINGLETON-SCR-00001,SCR-00001,CS-SCR00001-TERNARY-ZERO-BIAS,,sensing,other,Peak specific detectivity,device_component,laboratory_experiment,scalar,eq,65000000000000,,,,,Jones,reported,reported,,,,,,"Ternary NIR OPD, self-powered mode",BTPSV-4F binary 4.99 x 10^13; BTPSV-4Cl binary 2.50 x 10^13 Jones,,,,4,2. High-Sensitivity NIR OPDs,,Figure 2d,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,descriptive_only,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-B20-SCR00001-003,STC-SINGLETON-SCR-00001,SCR-00001,CS-SCR00001-TERNARY-ZERO-BIAS,,sensing,other,Linear dynamic range,device_component,laboratory_experiment,scalar,eq,144,,,,,dB,reported,reported,,,,,,Incident-light range 1.23 nW cm-2 to 20 mW cm-2,,,,,4,2. High-Sensitivity NIR OPDs,,Figure 2e,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,descriptive_only,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-B20-SCR00001-004,STC-SINGLETON-SCR-00001,SCR-00001,CS-SCR00001-PPG-AMBIENT,,sensing,other,Resting pulse rate,application,laboratory_experiment,scalar,eq,81,,,,,bpm,reported,reported,,,,,,Researcher finger PPG under ambient light,,,,,5,2. High-Sensitivity NIR OPDs,,Figure 2h-i,Equation 5,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,descriptive_only,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-B20-SCR00001-005,STC-SINGLETON-SCR-00001,SCR-00001,CS-SCR00001-950NM-20KHZ,,joint,other,Photoresponse time,device_component,laboratory_experiment,scalar,eq,528.5,,,,,ns,reported,reported,,,,,,"950 nm square wave at 20 kHz, zero bias",,,,,5,3. High-Speed NIR OPDs for Optical Wireless Communication,,Figure 3a,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,descriptive_only,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-B20-SCR00001-006,STC-SINGLETON-SCR-00001,SCR-00001,CS-SCR00001-CUTOFF,,communication,receiver_bandwidth,-3 dB cutoff frequency,device_component,laboratory_experiment,table,eq,,,,,,,reported,reported,,,,,,"Ternary NIR OPD, zero bias",,,,,5,3. High-Speed NIR OPDs for Optical Wireless Communication,,Figure 3b,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,descriptive_only,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-B20-SCR00001-007,STC-SINGLETON-SCR-00001,SCR-00001,CS-SCR00001-INTEGRATED-OPDS,,joint,other,Peak responsivity of integrated OPDs,device_component,laboratory_experiment,table,eq,,,,,,,reported,reported,,,,,,"Flexible O-ISAC, self-powered mode",,,,,6,4. Device Architecture and Optoelectronic Performance,,Figure 4e,,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,descriptive_only,no,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
