Paper_ID,step_0_visual_inspection,step_1_concept_analysis,step_2_benchmark_verification,step_3_strategic_critique
O_ISAC_095,The paper presents a novel spectrum-efficient MMW-over-fiber (MoF) architecture for joint sensing an...,The system mechanism is based on the generation of sensing and communication sidebands through asymm...,"The reported metrics, such as the ±15-mm ranging accuracy for single-target detection and the 30-cm ...",The proposed MoF architecture solves the problem of achieving high-resolution sensing and communicat...
O_ISAC_096,"The paper discusses the concept of nanoantennas and their potential applications in various fields, ...","The paper explores the fundamental aspects of nanoantennas, including their operating principles, de...","The paper reports on the potential of nanoantennas in various applications, including 6G wireless co...","The paper highlights the potential of nanoantennas in various applications, but also discusses the c..."
O_ISAC_097,The paper presents a microwave photonic integrated sensing and communication system based on polariz...,The system mechanism is based on polarization multiplexing and frequency-to-time mapping. The DP-MZM...,The paper reports a radar ranging resolution of 4.8 cm and a communication data rate of 2 Gbit/s. Th...,"The paper solves the problem of integrating radar, communication, and sensing functions in a single ..."
O_ISAC_098,The paper proposes an optical integrated sensing and communication system based on the combination o...,"The system uses OIRS to attain beam reflection and real-time deflection, effectively distributing th...",The paper derives the probability distribution function (PDF) of channel fading and the closed-form ...,The paper solves the problem of beam alignment for mobile users by proposing a closed-loop control a...
O_ISAC_099,"The paper includes several figures, including Fig. 1, which illustrates the schematic diagram of the...",The proposed bidirectional RO-ISAC system uses time division duplexing (TDD) and clipped orthogonal ...,The paper reports a ranging resolution of 6 cm and a maximum ranging distance of 96 cm. The communic...,The proposed bidirectional RO-ISAC system solves the problem of achieving simultaneous communication...
O_ISAC_100,The paper discusses an enhanced asymmetrically clipped direct-current-biased optical orthogonal freq...,"The EADO-OFDM scheme is proposed for OW-ISAC, which can adaptively assign part of the odd subcarrier...",The paper provides a detailed analysis of the signal model and signal processing techniques for EADO...,"The paper solves the problem of flexible waveform design and resource allocation for OW-ISAC, but th..."
O_ISAC_101,"Figure 1 illustrates the ICON concept, which includes a sensing system controlled through an intelli...",The ICON project aims to create a pathway for fibre sensing to become an integral service in optical...,The paper discusses the potential of integrating fibre sensing into telecommunications infrastructur...,The ICON project addresses the challenge of integrating fibre sensing into optical transmission syst...
O_ISAC_102,The paper discusses a machine learning-enhanced multi-pump Raman fiber amplifier (RFA) for high-perf...,"The system mechanism involves the use of a multi-pump RFA to amplify signals in the C+L+U band, with...","The paper reports an average gain of 34.37 dB and a gain flatness of 0.28 dB, which are physically c...",The paper solves the problem of optimizing the performance of a multi-pump RFA for high-performance ...
O_ISAC_103,"The paper includes several figures, including Fig. 1, which shows the structure of bidirectional sub...",The system uses interconnected dual counter-propagating recirculating fiber loops with high-loss loo...,"The paper reports a 32-GBaud DP-QPSK signal transmission over 3650-km SSMF, with a BER less than the...",The paper solves the problem of joint communication and sensing over long-haul distances using recir...
O_ISAC_104,"The paper includes two figures: Fig. 1, a scheme of the OFI-based interrogator embedded inside the P...","The system mechanism is based on optical fiber interferometry (OFI), which uses a standard Michelson...",The paper reports on the use of the OFI-based interrogator for monitoring the safety of the PON cabi...,The paper solves the problem of providing a sustainable and cost-effective solution for sensing in P...
O_ISAC_105,The paper presents a multi-channel photonic THz-ISAC system based on an integrated LFM-QAM waveform....,"The system uses an integrated LFM-QAM waveform, which combines the benefits of LFM and QAM to achiev...","The reported metrics, such as the data rate of up to 120 Gbps and a range resolution of 2.5 mm, are ...",The paper solves the problem of achieving high data rates and range resolutions in a THz-ISAC system...
O_ISAC_106,The paper discusses a retroreflective optical integrated sensing and communication (RO-ISAC) system....,The RO-ISAC system integrates sensing and communication functions using OFDM and CCR. The point sour...,Theoretical and experimental results are used to verify the accuracy of the proposed channel models....,The use of OFDM and CCR in the RO-ISAC system enables the integration of sensing and communication f...
O_ISAC_107,The paper presents an experimental demonstration of an integrated optical wireless sensing and commu...,The system uses m-CAP modulation for data transmission and RSS-based positioning for sensing. The m-...,"The paper reports a data rate of 12 Mbps with a bit error rate of less than 3.8 x 10^-3, and a posit...",The paper solves the problem of demonstrating an experimental ISAC system using m-CAP modulation and...
O_ISAC_108,The paper presents a new optical integrated sensing and communication (O-ISAC) framework tailored fo...,The O-ISAC system integrates optical communication and optical sensing capabilities within a single ...,Numerical and simulation results demonstrate the feasibility and impressive performance of O-ISAC. T...,The O-ISAC system provides robust and efficient indoor optical communication while simultaneously en...
O_ISAC_109,"The paper includes figures and tables that illustrate the simulation pipeline, LiDAR point cloud dat...","The authors discuss the potential gains of ISAC, including integration gain and coordination gain, a...","The error model calculates detection accuracy, true positives, false negatives, and false positives,...",The beam index map is generated using the simulation pipeline and can be used to determine MIMO beam...
O_ISAC_110,The paper proposes a novel re-use of neuromorphic (event) cameras for joint sensing and communicatio...,"The paper introduces a joint sensing and communication system using neuromorphic cameras, which can ...","The paper presents feasibility tests and results, including experiments on backscatter optical wirel...",The paper highlights the effectiveness of neuromorphic cameras in improving data transmission effici...
O_ISAC_111,"The paper includes several figures, including Fig. 1, which shows the schematic diagram of the propo...",The proposed system is a photonic sub-THz ISAC system that integrates high-speed communication and h...,"The reported metrics, such as the real-time data rate of 125.516 Gbps and the offline spatial resolu...",The proposed system solves the problem of achieving high-speed real-time communication and high-reso...
O_ISAC_112,The paper presents a system model for optical IRS-aided indoor visible light fingerprint localizatio...,"The system mechanism is based on the principle of fingerprint localization, where the RSS values are...",The paper reports a localization accuracy of 0.079 m for 90% of the target locations using the DE-WI...,The paper solves the problem of localization inaccuracy in indoor visible light positioning systems ...
O_ISAC_113,"The paper includes several figures, including Fig. 1, which shows the considered scientific monitori...",The proposed system uses frequency modulation (FM) and optical single-sideband (SSB) modulation to i...,"The paper reports a temperature monitoring resolution of 0.0625°C, which matches the resolution limi...",The proposed system addresses the challenge of integrating sensing and communication in subsea SMART...
O_ISAC_114,"The paper presents a novel optical integrated communication, sensing, and power transfer (O-ICSPT) s...",The O-ICSPT system uses a reflected light-based orthogonal frequency division multiplexing (OFDM) sy...,The reported metrics are physically consistent. The system achieves a maximum data rate of approxima...,"The O-ICSPT system solves the problem of integrating communication, sensing, and power transfer into..."
O_ISAC_115,"The paper discusses integrated sensing and communication in 6G systems, focusing on channel modeling...","The system mechanism is based on deterministic channel modeling approaches, including GO, PO, and IE...",The paper verifies the physical consistency of the reported metrics by comparing the simulated image...,The paper identifies the solved problem as the development of a deterministic channel modeling appro...
O_ISAC_116,"The paper presents a solar-blind UV communication system with non-line-of-sight (NLOS) capability, a...",The system uses a UV LED array with a combined output power of 0.45 W and a PMT with a 44° field of ...,The paper presents a comparison between the proposed NLOS system and a traditional line-of-sight (LO...,"The paper demonstrates the potential of the proposed system for ISAC applications, such as smoke det..."
O_ISAC_117,"The paper includes several figures, including Fig. 1, which depicts the OFDM-LFM integrated system, ...",The system combines asymmetric limiting optical orthogonal frequency division multiplexing (ACO-OFDM...,The paper reports a BER performance improvement of 4.2 dB under Gamma-Gamma weak and medium turbulen...,The system addresses the challenges associated with traditional communication-sensing integrated sys...
O_ISAC_118,The paper proposes a MIMO-radar based cyclist detection method for long-range scenarios using Integr...,The paper introduces the concept of ISAC and its application in long-range cyclist detection. It hig...,The paper presents simulation results to evaluate the performance of the proposed method. The result...,"The paper identifies the limitations of the proposed method, including the reduced angular resolutio..."
O_ISAC_119,The paper presents a W-band fiber-wireless link with integrated sensing and communication functions ...,"The system mechanism is based on electromagnetic polarization multiplexing, which enables the radar ...","The reported metrics, such as the spatial resolution of up to 15 mm and data rate as high as 92 Gbit...",The paper solves the problem of integrating sensing and communication in a W-band fiber-wireless lin...
O_ISAC_120,The paper presents a reconfigurable phase-time array (PTA) transmitter for joint communication and s...,The PTA transmitter uses a combination of phase shift and TTD to create a prism-like spectral-to-spa...,"The paper reports a maximum time delay of 112 ps, which is sufficient for an eight-element antenna a...",The paper solves the problem of simultaneous multi-RX localization and physically secured wireless c...
O_ISAC_121,"The paper includes several figures, including Fig. 1, which illustrates the architecture and princip...",The S-DNN is an all-optical computing paradigm for DOA estimation that uses a multi-layer metasurfac...,"The paper reports an angular resolution of 1°, which exceeds the diffraction limit by four times. Th...",The S-DNN solves the problem of achieving super-resolution DOA estimation beyond the diffraction lim...
O_ISAC_122,"The paper includes several figures, including Fig. 1, which illustrates the principle of the super-r...","The S-DNN is a passive, all-optical system that uses diffractive neural networks to estimate the dir...","The paper reports that the S-DNN achieves an angular resolution of 1°, which is four times higher th...",The S-DNN solves the problem of achieving super-resolution DOA estimation beyond the diffraction lim...
O_ISAC_123,"The paper includes several figures, including Fig. 1, which shows the experimental setup with two Tu...",The proposed system integrates camera sensing and screen-camera communication (SCC) for cooperative ...,"The paper reports several metrics, including the packet loss rate under different distances and view...",The proposed system solves the problem of integrating sensing and communication for cooperative mobi...
O_ISAC_124,The paper includes several figures and tables that provide detailed information about the proposed a...,"The unit cell optimization method is used to determine the optimal number of unit cells, ensuring th...",The simulation results show that the proposed antenna achieves a wide scanning angle of -48° to +45°...,The proposed antenna demonstrates novelty compared to referred designs by achieving a wide impedance...
O_ISAC_125,"The paper includes several figures, including Fig. 1, which shows the frequency-diverse microwave im...",The system mechanism is based on a low-profile broadband 1-bit randomly encoded folded reflectarray ...,"The paper reports a wide operational bandwidth of 13 GHz to 31 GHz, corresponding to 82% relative ba...","The paper solves the problem of achieving a low-profile, wideband, and high-sensing-capacity microwa..."
O_ISAC_126,The paper proposes a 6G general large-scale fading channel model (6GLSFCM) for multiple frequency ba...,The 6GLSFCM is a general channel model that integrates the electromagnetic propagation characteristi...,The paper provides simulation results and validation with channel measurement data for multiple freq...,The paper solves the problem of lacking a comprehensive large-scale fading channel model for multipl...
O_ISAC_127,"The paper includes several figures and tables that illustrate the system model, experimental setup, ...",The proposed system integrates a Reconfigurable Intelligent Surface (RIS) with an ISAC-enabled base ...,"The paper reports a secrecy rate of 8.2 bps/Hz, which is a 46.4% improvement over the static RIS bas...",The proposed system addresses the challenges of underwater optical wireless communication (UOWC) by ...
O_ISAC_128,"The paper includes several figures, including Fig. 1, which illustrates the principles of dual comb ...","The system uses a dual-comb-enabled integrated sensing and communication method, where two optical c...",The paper reports a sensing spatial resolution of up to 0.5 meters for various modulation schemes an...,The paper solves the problem of integrating sensing and communication in a fiber access network with...
O_ISAC_129,"The paper proposes a system called VehicleTalk, which uses optical wireless communication and sensin...",The system uses a combination of optical wireless communication and sensing to enable V2V communicat...,The paper presents experimental results to verify the effectiveness of the proposed system. The resu...,The paper proposes a novel approach to V2V communication and sensing using optical wireless communic...
O_ISAC_130,"The paper includes several figures, including Fig. 1, which illustrates the research methodology of ...",The proposed system is a quantum dot (QD)-based visible light sensing and communication (VLSC) syste...,The paper reports the BER and optical power of the VLSC system under various microalgae densities an...,The proposed method solves the problem of measuring microalgae density using a VLSC system. The meth...
O_ISAC_131,The paper discusses a joint Lambertian model calibration and positioning (JCAP) scheme for integrate...,"The system mechanism involves the use of LEDs as beacons to transmit visible light signals, which ar...",The paper reports the convergence of the proposed MM-based JCAP algorithm and its performance in ter...,The paper solves the problem of joint LEM calibration and positioning for integrated optical wireles...
O_ISAC_132,"The paper discusses terahertz band communication and sensing, with a focus on photon-assisted techno...","The system mechanism is based on photon-assisted technology, which uses optical signals to generate ...","The paper reports several experimental results, including a 6.4 Tbit/s terahertz signal transmission...","The paper solves several problems, such as achieving high-speed and long-distance terahertz communic..."
O_ISAC_133,"The paper includes several figures, including Fig. 1, which depicts a UAV-based IPSAC scenario, and ...","The system mechanism is based on CEO-OFDM, which uses a cyclic prefix (CP) to mitigate clipping dist...",The paper reports that the proposed CEO-OFDM system outperforms DCO-OFDM and ACO-OFDM systems in ter...,The paper solves the problem of efficient target detection and TDOA estimation in OWC systems with p...
O_ISAC_134,The paper presents a system model for radar-LiDAR fusion-aided RF beam prediction in vehicular commu...,The system mechanism involves using radar to estimate the mobility parameters of target vehicles and...,The paper presents numerical results that demonstrate the effectiveness of the proposed multimodal f...,The paper solves the problem of improving beam prediction accuracy in vehicular communications using...
O_ISAC_135,"The paper contains several figures, including Figure 1, which shows the Calbuco volcano's geographic...","The paper discusses the use of satellite data, including ATMS and VIIRS, to detect and estimate near...",The paper presents a comparison of the estimated tephra mass loading from ATMS data with empirical f...,The paper solves the problem of detecting and estimating near-source volcanic plume parameters using...
O_ISAC_136,"The paper includes several figures, including Figure 1, which illustrates the Rydberg atomic receivi...","The system mechanism is based on the Rydberg Atomic Receiver (RYDAR), which exploits the Rydberg-sta...",The paper reports a root mean square error (RMSE) of 1.04 cm for target distance estimation and a bi...,The paper addresses the limitation of classical electronic receivers in terms of sensitivity and ope...
O_ISAC_137,"The paper includes several figures, such as Fig. 1, which shows a block diagram of a time tagger wit...","The system mechanism involves continuous event recording in Satellite Laser Ranging (SLR) systems, w...",The paper reports a potential bitrate of approximately 66 Mbit/s for a 128-position TR-PPM signal wi...,"The solved problem is the implementation of continuous event recording in SLR systems, which simplif..."
O_ISAC_138,,,,
O_ISAC_139,The paper presents an end-to-end localization framework utilizing COTS IoT devices and advanced RSSI...,"The system mechanism is based on the Integrated Sensing and Communication (ISAC) paradigm, which lev...","The paper reports a significant improvement in RSSI stability, with a reduction in standard deviatio...","The paper solves the problem of indoor localization using RSSI measurements, achieving high accuracy..."
O_ISAC_140,"The paper includes several figures, including Fig. 1, which depicts an indoor scenario with a transm...",The system mechanism involves using MIMO RF signals to estimate the depth map of an environment. The...,The paper reports an average Chamfer distance of 2m^2 between the predicted and ground truth LiDAR p...,"The paper solves the problem of estimating depth maps using MIMO RF signals, which is a significant ..."
O_ISAC_141,The paper presents a system model for an electromagnetic field exposure-aware AI framework for integ...,"The system uses a k-medoids clustering approach to group UPWDs into clusters, and then assigns a sub...",The paper presents simulation results that show the performance of the proposed system in terms of a...,The paper solves the problem of minimizing EMF exposure during uplink transmissions in ISAC-enabled ...
O_ISAC_142,"The paper includes several figures, including Fig. 1, which illustrates the 6G usage scenarios of IM...",The paper discusses the concept of Intelligent Surfaces (ISs) and their potential applications in 6G...,"The paper provides an overview of the state-of-the-art results on the design of reflection-based IS,...","The paper highlights the potential of ISs to enable a wide range of applications in 6G, including im..."
O_ISAC_143,"The paper includes several figures, such as Figure 1: Hardware Prototype, Figure 2: Original drone d...",The PoseFly system uses optical camera communication (OCC) to enable integrated sensing and communic...,"The paper reports a data rate of 5.4 Kbps, which is achieved through the transmission of 90 valid OO...","The PoseFly system addresses several challenges in swarming drone communication and localization, in..."
O_ISAC_144,"The paper includes several figures, including Fig. 1, which illustrates the WSDT framework, and Figs...",The system mechanism involves a multichannel wind-signal driven digital twin (WSDT) framework for a ...,The paper reports on the stress and displacement distributions of the heliostat under different wind...,The paper solves the problem of real-time structural health monitoring of a heliostat using a WSDT f...
O_ISAC_145,"The paper presents a system model for hybrid radio-optical wireless body area networks (HyWBANs), wh...",The system mechanism involves the use of a hybrid RF-OWC channel to transmit data from the in-body d...,The paper presents numerical results that demonstrate the performance of the system. The results sho...,The paper solves the problem of optimizing the secrecy energy efficiency of hybrid RF-OWC systems. T...
O_ISAC_146,"The paper includes two figures: Figure 1, which shows the Pulsed Polarized H- Ion Injector Layout, a...",The paper discusses the development of the Optically Pumped Polarized Ion Source (OPPIS) for high-en...,"The paper reports several metrics, including the polarized H- ion current, beam energy, and polariza...","The paper discusses the development of the OPPIS for high-energy accelerators and colliders, which a..."
O_ISAC_147,"The paper includes several figures, such as Figure 1, which shows the off-shore platform used for th...",The system mechanism involves the use of microwave radiometers and radar to measure the sea surface ...,The paper reports a good agreement between the measured and simulated brightness temperatures at S a...,The paper solves the problem of retrieving wind speed from microwave radiometric measurements using ...
O_ISAC_148,The paper discusses the use of Copernicus Sentinel-1 SAR and Sentinel-2 optical data to document flo...,"The paper uses a multi-sensor approach, combining SAR and optical data, to detect and analyze flood ...",The paper verifies the physical consistency of the reported metrics by using validated processing ro...,The paper highlights the importance of using multi-sensor satellite data to document and analyze flo...
O_ISAC_149,"The paper includes several figures, including Figure 1, which shows the optical periscope installed ...",The system uses a mobile Precision Automated Tracking System (PATS) with a laser tracker and a telem...,"The paper reports that the PATS system can track the aircraft with a high degree of accuracy, but it...",The system appears to have solved the problem of providing accurate and reliable tracking data for a...
O_ISAC_150,"The paper discusses the vision, applications, requirements, technologies, challenges, and research d...","The paper discusses the concept of 6G wireless communication systems, including the integration of s...","The paper provides various metrics and requirements for 6G wireless communication systems, including...",The paper identifies several challenges and open issues in the development of 6G wireless communicat...
O_ISAC_151,"The paper includes several figures, including Figure 1, which depicts the BigFiberNet architecture, ...",The BigFiberNet system integrates fabric computing technology with 5G and large language models (LLM...,"The paper reports on the performance evaluation of the BigFiberNet testbed, which demonstrates the e...","The paper introduces BigFiberNet, a novel architecture for large-scale non-disturbance mobile sensin..."
O_ISAC_152,"The paper includes several figures, including Fig. 1, which shows the schematic configuration of the...","The proposed system uses a photonics-assisted approach to integrate radar ranging, wireless communic...","The paper reports a radar ranging measurement error of ±3.2 cm, wireless communications at 1 Gbit/s ...","The proposed system solves the problem of integrating radar ranging, wireless communications, and sp..."
O_ISAC_153,"The paper includes several figures, including Fig. 1, which shows three types of metasurface structu...",The system mechanism involves the use of a terahertz metasurface sensor with ultrahigh frequency sel...,"The paper reports a frequency resolution of 0.05 GHz and a spectral resolution of up to 0.05 GHz, wh...",The paper solves the problem of characterizing terahertz metasurface sensors with ultrahigh frequenc...
O_ISAC_154,The paper discusses the use of satellite microwave and infrared radiometric imagery for monitoring v...,The paper explores the complementarity of microwave and thermal infrared satellite observations for ...,The paper verifies the physical consistency of reported metrics by comparing them to expected values...,The paper identifies the solved problem of monitoring volcanic plumes and ash clouds using satellite...
O_ISAC_155,"The paper includes several figures, such as Figure 1, which shows a logistics scenario with mobile r...","The paper presents the Human-Enhanced Robot Orchestration (HERO) framework, which enables context-aw...","The paper reports several metrics, including offload rate, bandwidth usage, energy use, average runt...","The paper solves the problem of adaptive and dynamic offloading in robotic process orchestration, de..."
O_ISAC_156,"The paper discusses Physical Layer Security for Authentication, Confidentiality, and Malicious Node ...","The paper focuses on Physical Layer Security (PLS) techniques for IoT networks, including PLKE, PLA,...","The paper discusses various PLS techniques and their performance metrics, but it does not provide sp...",The paper identifies the need for secure and efficient PLS techniques for IoT networks and discusses...
O_ISAC_157,"The paper presents a system model for practical DOA estimation, considering various imperfect factor...","The SDOA-Net method uses a CNN architecture with multiple convolution layers, followed by batch norm...",The simulation results demonstrate that the proposed SDOA-Net method outperforms existing methods in...,The proposed SDOA-Net method addresses the challenge of DOA estimation in imperfect arrays by utiliz...
O_ISAC_158,"The paper includes several images, including a picture of a reconfigurable holographic surface radio...","The paper discusses various 6G technologies, including reconfigurable holographic surfaces, AI-based...","The paper reports various metrics, including data rates, latency, and accuracy. However, the physica...","The paper identifies several solved problems, including the development of reconfigurable holographi..."
O_ISAC_159,The paper presents a photonics-aided THz integrated sensing and communication system based on a subc...,"The system mechanism is based on a subcarrier-chirp inter-embedded (SCIE) method, which embeds subca...","The reported metrics, such as the 88-Gbps data rate and 8-mm radial resolution, are physically consi...",The paper solves the problem of achieving high data rates and high-resolution sensing in a photonics...
O_ISAC_160,"The paper contains various images, including system diagrams, charts, and block diagrams. Figure 1 s...","The system mechanism involves using multi-modal data from various sensors, including RGB cameras, de...","The reported metrics, such as MSE and MAE, are physically consistent with the system mechanism and I...",The solved problems include the development of a GAN-based path loss prediction model that can accur...
O_ISAC_161,"The paper contains various diagrams and figures illustrating different aspects of ISAC systems, incl...","The paper discusses the concept of Integrated Sensing and Communication (ISAC) systems, which aim to...","The paper reports various metrics, such as data rates and range resolutions, for different ISAC syst...","The paper highlights the progress made in ISAC system development, including the integration of sens..."
O_ISAC_162,"The paper contains several images, including a pie chart showing the distribution of 3GPP ISAC use c...",The paper discusses the concept of Integrated Sensing and Communication (ISAC) and its potential app...,"The paper reports on the physical consistency of the metrics used in the ISAC system, including the ...","The paper identifies several solved problems, including the development of ISAC channel models and t..."
O_ISAC_163,"The paper contains multiple images, including conceptual diagrams, block diagrams, circuit diagrams,...",The paper discusses the concept of Multi-Functional RIS (MF-RIS) and its potential applications in I...,"The paper provides a comprehensive overview of the state-of-the-art in RIS research, including the p...","The paper identifies several solved problems, including the development of MF-RIS and its potential ..."
O_ISAC_164,"The paper includes several images, including a system diagram of an OCC-based V2X scenario, a block ...","The paper proposes an OC-ISAC system model for outdoor V2X communication, which leverages the optoel...",The paper presents a voxel-to-pixel channel model to characterize the spatially distributed nature o...,The paper addresses the problem of optimizing camera exposure time to maximize the average performan...
O_ISAC_165,"The paper contains several images, including 3D schematics, multi-panel charts, line charts, band di...",The system mechanism involves a mid-infrared (MIR) silicon photonics platform with a heteroepitaxial...,"The reported metrics, such as the absorption efficiency, responsivity, and detectivity, are physical...",The paper solves the problem of integrating an InAs photodetector on an SOI substrate using heteroep...
O_ISAC_166,"The paper includes several figures and diagrams, including Figure 1, which shows the system schemati...",The system mechanism involves an integrated wearable system utilizing ultraflexible organic solar ce...,"The paper reports several metrics, including the short-circuit current density (JSC) of 26.6 mA/cm²,...","The paper solves several problems, including the development of an integrated wearable system that c..."
O_ISAC_167,"The paper contains 16 images, including system diagrams, multi-panel charts, line charts, 3D charts,...",The proposed ISAC system uses a narrow-linewidth laser (NLL) and a wide-linewidth laser (WLL) to sup...,"The reported metrics, such as the spatial resolution of 2.4 m, SNR of RBS frequency shift of 28 dB, ...",The proposed ISAC system solves the problem of supporting multiple modulation formats and achieving ...
O_ISAC_171,The paper presents a frequency-comb-steered ultrawideband quasi-true-time-delay (TTD) beamformer for...,"The system mechanism is based on a photonically steered frequency-diverse array, which uses a dual-c...","The reported metrics, such as the 6 GHz instantaneous bandwidth, 2.6 x 3.0 cm ISAR resolution, and 4...",The system solves the problem of beam squint in traditional phased array antennas and demonstrates a...
O_ISAC_172,"The paper includes several figures and diagrams, including a system diagram of the OFDR-based ISAC-O...",The system uses a directly modulated laser (DML) to generate a linearly frequency-modulated (LFM) op...,The paper reports a data rate of 25 Mbps and a distance resolution of 12.28 cm. These metrics are ph...,The paper solves the problem of integrating high-precision fiber sensing with high-speed optical com...
O_ISAC_173,"The paper includes several images, including a conceptual diagram of OCC spatial multiplexing, a sys...",The paper proposes High-Performance Optical Camera Communications (HP-OCC) as an alternative to RF-b...,The paper reports a video rate of 5 Mbps and a localization accuracy of 10 cm at a range of 25 m. Th...,"The paper highlights the advantages of HP-OCC over RF-based ISAC, including higher sensing precision..."
O_ISAC_185,"The system consists of a transmitter with a DMD and a fluorescent white laser diode, and a receiver ...","The CAP scheme is based on the principle of compressive sensing, which allows for the reconstruction...","The localization accuracy is verified through experiments, where the receiver is moved to different ...","The system's potential applications include wireless VR and AR, where the system's ability to provid..."
O_ISAC_186,The paper presents a novel dual-function radar-communication (DFRC) system based on chaotic optoelec...,"The system uses chaotic OEOs to generate wideband chaotic signals, which are then used for both comm...",The paper reports a maximum communication rate of 250 Mbps and a radar ranging resolution of 0.013 m...,The paper solves the problem of designing a DFRC system that can achieve both communication and rada...
O_ISAC_187,"The paper contains several figures and charts, including a full system diagram, flow diagrams, line ...",The proposed system is based on index modulation and chirp multiplexing. The system mechanism involv...,The reported metrics are physically consistent with the hardware and method described. The system ac...,The proposed system solves the problem of achieving high Doppler tolerance and communication reliabi...
O_ISAC_188,"The paper includes several figures and charts that illustrate the system architecture, signal proces...",The system mechanism is based on the use of telecom pilots for both SOP rotation estimation and DAS....,"The reported metrics, such as the BER performance, phase STD, and PSD SNR, are physically consistent...",The paper solves the problem of achieving endogenous ISAC using telecom pilots for both SOP rotation...
O_ISAC_189,"The paper contains various diagrams and charts, including a conceptual diagram of the RAN fronthaul,...",The system uses LFM pilots to achieve seamless integration of sensing and communication. The LFM pil...,The paper reports a dynamic range of 6 με and a sensing resolution of 50 m. These values are physica...,"The system solves the problem of seamless integration of sensing and communication, achieving a high..."
O_ISAC_190,"The paper includes several figures and diagrams that illustrate the system architecture, experimenta...","The system uses a common bias-digital subcarrier multiplexing (CB-DSCM) scheme, which combines linea...",The paper reports a net data rate of 3.01 Gb/s with a bit error rate (BER) as low as 6 × 10−4 over a...,The paper solves the problem of integrating sensing and communication in a low-cost intensity modula...
O_ISAC_195,"The paper includes several figures and images, including system diagrams, experimental setup photos,...",The system mechanism is based on a photonic integrated broadband multi-beamformer that employs an OT...,"The reported metrics, such as the range resolution of 14.9 cm and cross-range resolution of 8.0 cm, ...",The paper solves the problem of achieving high-resolution radar imaging and high-speed wireless comm...
O_ISAC_199,"The paper contains several images, including a graphical abstract, system block diagrams, probabilit...",The proposed system integrates a free-space optical (FSO) communication system with a fiber Bragg gr...,"The paper reports a maximum FSO link range of 69.6 km under clear atmospheric conditions, with a BER...","The proposed system addresses the challenges of signal losses due to atmospheric conditions, tempera..."
O_ISAC_200,"The paper contains several images, including system block diagrams, block diagrams of equalizers, an...",The system mechanism involves the use of adaptive equalizers to estimate the channel transfer matrix...,"The reported metrics, such as the signal-to-noise ratio (SNR) and the mean squared error (MSE) of th...",The paper solves the problem of integrated polarization sensing and communication in optical fibers ...
O_ISAC_202,"The paper includes several images, including a system block diagram, dual-panel charts for sensing p...","The system mechanism is based on a Sagnac interferometer, which detects the location of vibration by...","The reported metrics, such as the null frequency, position error, and BER curves, are physically con...","The paper solves the problem of integrating covert sensing and communication in the same fiber, same..."
O_ISAC_203,"The paper contains several images, including Figure 1, which shows the concept and device layout of ...",The system mechanism is based on a flexible self-powered O-ISAC platform that integrates two NIR OPD...,"The reported metrics, such as the responsivity, specific detectivity, and cutoff frequency, are phys...",The paper solves the problem of developing a flexible self-powered O-ISAC platform with high-speed o...
O_ISAC_206,The paper presents a novel beam pattern modulation-embedded hybrid transceiver design for mmWave ISA...,The system mechanism involves the use of beam pattern modulation to embed additional information int...,"The paper presents simulation results to validate the performance of the proposed BPM-ISAC method, i...",The paper solves the problem of optimizing the beam pattern modulation-embedded hybrid transceiver d...
O_ISAC_218,"The paper includes several figures and charts, including system diagrams, block diagrams, hardware p...",The system uses a hybrid MRR-assisted long-range SDMA for RO-ISAC systems. The ISAC coupling mode is...,"The paper reports a ranging accuracy of centimeter-level at a 5-meter range, with a communication up...",The paper solves the problem of achieving long-range SDMA in RO-ISAC systems using a hybrid MRR-assi...
O_ISAC_219,"The paper includes several figures and charts that illustrate the system model, waveform design, and...",The proposed MU-RO-ISAC system uses a novel OFDM-MLS-CIM waveform to support both communication and ...,"The paper reports a data rate of 125 Mbps for OFDM modulation and 7.8 Mbps for CIM modulation, resul...",The proposed MU-RO-ISAC system solves the problem of supporting multiple users with flexible perform...
O_ISAC_220,The paper includes several figures and charts that illustrate the proposed SMART network architectur...,"The proposed SMART network uses a dense and compatible ISAC scheme, which enables the co-transmissio...","The paper reports several metrics, including the Q factors of 100 km transmitted DP-QAM16 signals, t...","The proposed SMART network solves several problems, including the need for a dense and compatible IS..."
O_ISAC_237,"The system diagram shows the Co-FMCW-OFDM transmitter and receiver structure, including the shared R...","The system enables integrated sensing and communication, with the FMCW signal facilitating sensing a...",The simulation results demonstrate the effectiveness of the Co-FMCW-OFDM system in achieving integra...,The system's performance can be further improved by optimizing the power allocation between the FMCW...
O_ISAC_241,"The paper includes various figures and charts, such as system block diagrams, grid diagrams, 3D surf...","The system employs OTFS modulation to map data to the delay-Doppler (DD) domain, enhancing the commu...",The paper reports a net data rate of 15.71 Gbit/s and a range resolution of 3 cm. The maximum absolu...,The paper solves the problem of achieving high-speed data transmission and high-precision ranging in...
O_ISAC_242,The paper presents a PAM-4 photonics-assisted W-band ISAC system. The system uses a sliding window-b...,The system uses a single PAM-4 waveform for both communication and radar detection. The sliding wind...,The system's performance is compared to that of a Volterra Series-based Nonlinear Equalizer (VNE) an...,The system's performance is limited by the ROP and the sampling rate. The system achieves better per...
